lemme,cgram,genre,freqlem,forms
tout,ADJ,m,3037.79,tout/toute tous/toutes
petit,ADJ,m,1280.864,petit/petite petits/petites
bon,ADJ,m,1248.528,bon/bonne bons/bonnes
quoi,ADJ,m,1019.284,quoi
seul,ADJ,m,900.9780000000001,seul/seule seuls/seules
grand,ADJ,m,881.096,grand/grande grands/grandes
autre,ADJ,,819.71,"autre, autres"
sûr,ADJ,m,731.324,sûr/sûre sûrs/sûres
vrai,ADJ,m,656.246,vrai/vraie vrais/vraies
beau,ADJ,m,651.144,beau/belle beaux/belles
même,ADJ,,563.678,"même, mêmes"
premier,ADJ,m,495.216,premier/première premiers/premières
juste,ADJ,,455.496,"juste, justes"
dernier,ADJ,m,419.892,dernier/dernière derniers/dernières
jeune,ADJ,,405.88200000000006,"jeune, jeunes"
vieux,ADJ,m,374.484,vieux/vieille vieux/vieilles
gros,ADJ,m,301.54999999999995,gros/grosse gros/grosses
noir,ADJ,m,279.778,noir/noire noirs/noires
long,ADJ,m,276.356,long/longue longs/longues
plein,ADJ,m,273.414,plein/pleine pleins/pleines
fou,ADJ,m,258.514,fou/folle fous/folles
blanc,ADJ,m,243.46,blanc/blanche blancs/blanches
prêt,ADJ,m,237.296,prêt/prête prêtes
mauvais,ADJ,m,231.858,mauvais/mauvaise mauvais/mauvaises
heureux,ADJ,m,225.07,heureux/heureuse heureux/heureuses
possible,ADJ,,205.63,"possible, possibles"
nouveau,ADJ,m,199.914,"nouveau, nouveaux"
joli,ADJ,m,183.86999999999998,joli/jolie jolis/jolies
nouvelle,ADJ,f,183.69,"nouvelle, nouvelles"
pauvre,ADJ,,181.926,"pauvre, pauvres"
propre,ADJ,,180.94400000000002,"propre, propres"
cher,ADJ,m,176.91,cher/chère chers/chères
important,ADJ,m,172.32000000000002,important/importante importants/importantes
dur,ADJ,m,171.38,dur/dure durs/dures
rouge,ADJ,,171.054,"rouge, rouges"
désolé,ADJ,m,170.96800000000002,désolé/désolée désolés/désolées
meilleur,ADJ,m,167.43,meilleur/meilleure meilleurs/meilleures
libre,ADJ,,147.81599999999997,"libre, libres"
français,ADJ,m,145.37600000000003,français/française français/françaises
simple,ADJ,,142.046,"simple, simples"
content,ADJ,m,141.95999999999998,content/contente contents/contentes
gentil,ADJ,m,141.528,gentil/gentille gentils/gentilles
ok,ADJ,,141.394,ok
froid,ADJ,m,141.00799999999998,froid/froide froids/froides
pareil,ADJ,m,139.934,pareil/pareille pareils/pareilles
difficile,ADJ,,137.59199999999998,"difficile, difficiles"
clair,ADJ,m,136.29,clair/claire clairs/claires
certain,ADJ,m,135.19799999999998,certain/certaine certains/certaines
facile,ADJ,,135.07,"facile, faciles"
sale,ADJ,,128.928,"sale, sales"
bas,ADJ,m,126.172,bas/basse bas/basses
bleu,ADJ,,125.422,bleu/bleue bleus/bleues
drôle,ADJ,,124.71599999999998,"drôle, drôles"
malade,ADJ,,124.53,"malade, malades"
grave,ADJ,,122.99999999999999,"grave, graves"
prochain,ADJ,m,119.89000000000001,prochain/prochaine prochains/prochaines
haut,ADJ,m,119.534,haut/haute hauts/hautes
différent,ADJ,m,118.292,différent/différente différents/différentes
faux,ADJ,m,117.174,faux/fausse faux/fausses
fort,ADJ,m,113.27600000000001,fort/forte forts/fortes
impossible,ADJ,,113.12800000000001,"impossible, impossibles"
droit,ADJ,m,111.99600000000001,droit/droite droits/droites
vivant,ADJ,m,111.874,vivant/vivante vivants/vivantes
doux,ADJ,m,111.512,doux/douce doux/douces
humain,ADJ,m,108.88,humain/humaine humains/humaines
tranquille,ADJ,,108.59799999999998,"tranquille, tranquilles"
ancien,ADJ,m,105.84,ancien/ancienne anciens/anciennes
entier,ADJ,m,104.77000000000001,entier/entière entiers/entières
triste,ADJ,,104.30799999999999,"triste, tristes"
normal,ADJ,m,101.39800000000001,normal/normale normaux/normales
bizarre,ADJ,,99.73799999999999,"bizarre, bizarres"
mort,ADJ,m,98.846,mort/morte morts/mortes
nu,ADJ,m,97.13799999999999,nu/nue nus
chaud,ADJ,m,95.82,chaud/chaude chauds/chaudes
super,ADJ,,95.73400000000001,super
vide,ADJ,,95.19800000000001,"vide, vides"
passé,ADJ,m,92.966,passé/passée passés/passées
étrange,ADJ,,92.798,"étrange, étranges"
sérieux,ADJ,m,92.69200000000001,sérieux/sérieuse sérieux/sérieuses
vert,ADJ,m,89.61,vert/verte verts/vertes
amoureux,ADJ,m,88.054,amoureux/amoureuse amoureux/amoureuses
terrible,ADJ,,87.84,"terrible, terribles"
génial,ADJ,m,84.762,génial/géniale géniaux/géniales
léger,ADJ,m,83.066,léger/légère légers/légères
sec,ADJ,m,82.94800000000001,sec/sèche secs/sèches
pire,ADJ,,82.378,"pire, pires"
moindre,ADJ,,82.18,"moindre, moindres"
neuf,ADJ,m,80.94200000000001,neuf/neuve neufs/neuves
capable,ADJ,,80.64999999999999,"capable, capables"
dangereux,ADJ,m,80.132,dangereux/dangereuse dangereux/dangereuses
énorme,ADJ,,77.562,"énorme, énormes"
ouvert,ADJ,m,76.92600000000002,ouvert/ouverte ouverts/ouvertes
lourd,ADJ,m,76.022,lourd/lourde lourds/lourdes
gris,ADJ,m,73.72800000000001,gris/grise gris/grises
frais,ADJ,m,72.534,frais/fraîche frais/fraîches
inutile,ADJ,,71.762,"inutile, inutiles"
pur,ADJ,m,71.212,pur/pure purs/pures
secret,ADJ,m,70.852,secret/secrète secrets/secrètes
fier,ADJ,m,70.75,fier/fière fiers/fières
riche,ADJ,,70.49799999999999,"riche, riches"
sombre,ADJ,,69.412,"sombre, sombres"
calme,ADJ,,69.402,"calme, calmes"
court,ADJ,m,68.286,court/courte courts/courtes
américain,ADJ,m,68.244,américain/américaine américains/américaines
profond,ADJ,m,67.74199999999999,profond/profonde profonds/profondes
exact,ADJ,m,67.512,exact/exacte exacts/exactes
second,ADJ,m,66.932,second/seconde seconds/secondes
proche,ADJ,,66.368,"proche, proches"
militaire,ADJ,,64.726,"militaire, militaires"
présent,ADJ,m,64.51599999999999,présent/présente présents/présentes
magnifique,ADJ,,64.012,"magnifique, magnifiques"
