lemme,cgram,genre,freqlem,forms
deux,ADJ:num,,1228.5700000000002,deux
trois,ADJ:num,,492.616,trois
quatre,ADJ:num,,203.614,quatre
cinq,ADJ:num,,185.42000000000002,cinq
dix,ADJ:num,,154.918,dix
six,ADJ:num,,132.91,six
mille,ADJ:num,,90.094,mille
neuf,ADJ:num,,80.94200000000001,neuf
cent,ADJ:num,,79.994,cent
vingt,ADJ:num,,79.518,vingt
huit,ADJ:num,,76.082,huit
sept,ADJ:num,,69.886,sept
un,ADJ:num,,52.36200000000001,un
quinze,ADJ:num,,51.072,quinze
cents,ADJ:num,,48.818,cents
trente,ADJ:num,,42.994,trente
douze,ADJ:num,,32.358000000000004,douze
cinquante,ADJ:num,,29.988000000000003,cinquante
une,ADJ:num,,25.78,une
quarante,ADJ:num,,22.408,quarante
onze,ADJ:num,,22.302,onze
seize,ADJ:num,,17.194000000000003,seize
i,ADJ:num,,16.844,i
dix-huit,ADJ:num,,15.340000000000002,dix-huit
vingt-cinq,ADJ:num,,13.39,vingt-cinq
quatorze,ADJ:num,,12.856,quatorze
treize,ADJ:num,,12.580000000000002,treize
soixante,ADJ:num,,11.432,soixante
dix-sept,ADJ:num,,10.05,dix-sept
vingt-quatre,ADJ:num,,8.222,vingt-quatre
c,ADJ:num,,6.8180000000000005,c
x,ADJ:num,,6.272,x
dix-neuf,ADJ:num,,5.482,dix-neuf
trente-cinq,ADJ:num,,5.418,trente-cinq
vingt-deux,ADJ:num,,4.346,vingt-deux
vingt-trois,ADJ:num,,4.276000000000001,vingt-trois
quarante-cinq,ADJ:num,,4.236,quarante-cinq
soixante-dix,ADJ:num,,4.212,soixante-dix
d,ADJ:num,,4.01,d
quatre-vingts,ADJ:num,,3.8360000000000007,quatre-vingts
vingt-six,ADJ:num,,3.654,vingt-six
quarante-huit,ADJ:num,,3.37,quarante-huit
v,ADJ:num,,3.216,v
trente-six,ADJ:num,,3.0580000000000003,trente-six
m,ADJ:num,,2.96,m
vingt-huit,ADJ:num,,2.718,vingt-huit
vingt-sept,ADJ:num,,2.238,vingt-sept
trente-deux,ADJ:num,,1.9240000000000002,trente-deux
l,ADJ:num,,1.8019999999999998,l
soixante-quinze,ADJ:num,,1.702,soixante-quinze
vingt-neuf,ADJ:num,,1.6840000000000002,vingt-neuf
soixante-cinq,ADJ:num,,1.5040000000000002,soixante-cinq
quatre-vingt-dix,ADJ:num,,1.458,quatre-vingt-dix
trente-huit,ADJ:num,,1.44,trente-huit
trente-trois,ADJ:num,,1.412,trente-trois
trente-sept,ADJ:num,,1.318,trente-sept
trente-neuf,ADJ:num,,1.1940000000000002,trente-neuf
cinquante-cinq,ADJ:num,,1.12,cinquante-cinq
quarante-deux,ADJ:num,,1.01,quarante-deux
quatre-vingt,ADJ:num,,0.9620000000000001,quatre-vingt
quatre-vingt-quinze,ADJ:num,,0.9480000000000001,quatre-vingt-quinze
quarante-trois,ADJ:num,,0.92,quarante-trois
cinquante-deux,ADJ:num,,0.694,cinquante-deux
trente-quatre,ADJ:num,,0.6900000000000001,trente-quatre
soixante-douze,ADJ:num,,0.598,soixante-douze
quarante-sept,ADJ:num,,0.536,quarante-sept
mil,ADJ:num,,0.52,mil
quatre-vingt-treize,ADJ:num,,0.446,quatre-vingt-treize
soixante-sept,ADJ:num,,0.44400000000000006,soixante-sept
soixante-treize,ADJ:num,,0.43800000000000006,soixante-treize
cinquante-sept,ADJ:num,,0.428,cinquante-sept
soixante-dix-sept,ADJ:num,,0.422,soixante-dix-sept
soixante-huit,ADJ:num,,0.42000000000000004,soixante-huit
cinquante-trois,ADJ:num,,0.41400000000000003,cinquante-trois
quarante-quatre,ADJ:num,,0.41200000000000003,quarante-quatre
quatre-vingt-cinq,ADJ:num,,0.394,quatre-vingt-cinq
cinquante-huit,ADJ:num,,0.388,cinquante-huit
cinquante-six,ADJ:num,,0.38,cinquante-six
ici,ADJ:num,,0.376,ici
dc,ADJ:num,,0.376,dc
soixante-six,ADJ:num,,0.37200000000000005,soixante-six
quarante-neuf,ADJ:num,,0.356,quarante-neuf
cinquante-quatre,ADJ:num,,0.35000000000000003,cinquante-quatre
quatre-vingt-neuf,ADJ:num,,0.328,quatre-vingt-neuf
quarante-six,ADJ:num,,0.326,quarante-six
soixante-seize,ADJ:num,,0.314,soixante-seize
quatre-vingt-quatre,ADJ:num,,0.314,quatre-vingt-quatre
quatre-vingt-dix-neuf,ADJ:num,,0.314,quatre-vingt-dix-neuf
soixante-dix-huit,ADJ:num,,0.28400000000000003,soixante-dix-huit
quatre-vingt-douze,ADJ:num,,0.28200000000000003,quatre-vingt-douze
nonante,ADJ:num,,0.27,nonante
soixante-quatre,ADJ:num,,0.268,soixante-quatre
il,ADJ:num,,0.268,il
soixante-quatorze,ADJ:num,,0.262,soixante-quatorze
soixante-neuf,ADJ:num,,0.26,soixante-neuf
quatre-vingt-six,ADJ:num,,0.25,quatre-vingt-six
dm,ADJ:num,,0.24,dm
soixante-deux,ADJ:num,,0.226,soixante-deux
quatre-vingt-trois,ADJ:num,,0.2,quatre-vingt-trois
quatre-vingt-onze,ADJ:num,,0.196,quatre-vingt-onze
soixante-trois,ADJ:num,,0.17,soixante-trois
cinquante-neuf,ADJ:num,,0.154,cinquante-neuf
quatre-vingt-sept,ADJ:num,,0.15000000000000002,quatre-vingt-sept
quatre-vingt-dix-huit,ADJ:num,,0.14800000000000002,quatre-vingt-dix-huit
septante-sept,ADJ:num,,0.148,septante-sept
quatre-vingt-dix-sept,ADJ:num,,0.10800000000000001,quatre-vingt-dix-sept
quatre-vingt-deux,ADJ:num,,0.10800000000000001,quatre-vingt-deux
autres,ADJ:num,,0.10200000000000001,autres
septante,ADJ:num,,0.094,septante
quatre-vingt-huit,ADJ:num,,0.09200000000000001,quatre-vingt-huit
quatre-vingt-quatorze,ADJ:num,,0.088,quatre-vingt-quatorze
quatre-vingt-seize,ADJ:num,,0.088,quatre-vingt-seize
soixante-dix-neuf,ADJ:num,,0.08600000000000002,soixante-dix-neuf
centenaires,ADJ:num,,0.084,centenaires
quatre-vingt-un,ADJ:num,,0.068,quatre-vingt-un
octante,ADJ:num,,0.05600000000000001,octante
centrales,ADJ:num,,0.03,centrales
centaines,ADJ:num,,0.028000000000000004,centaines
nonante-huit,ADJ:num,,0.028000000000000004,nonante-huit
midi,ADJ:num,,0.028000000000000004,midi
septante-cinq,ADJ:num,,0.028000000000000004,septante-cinq
ml,ADJ:num,,0.018,ml
mm,ADJ:num,,0.006,mm
