lemme,cgram,genre,freqlem,forms
ne,ADV,,18909.454,"n, ne, n'"
pas,ADV,,14430.946000000002,pas
plus,ADV,,4443.281999999999,plus
bien,ADV,,3542.3239999999996,bien
non,ADV,,2878.432,non
oui,ADV,,2179.438,oui
là,ADV,,1693.7820000000002,là
ici,ADV,,1640.158,ici
si,ADV,,1634.2559999999999,si
alors,ADV,,1480.1019999999999,alors
très,ADV,,1402.276,très
aussi,ADV,,1385.3419999999999,aussi
encore,ADV,,1337.784,encore
tout,ADV,,1290.8600000000001,tout
jamais,ADV,,1265.32,jamais
même,ADV,,1088.074,même
toujours,ADV,,1080.9279999999999,toujours
pourquoi,ADV,,883.04,pourquoi
trop,ADV,,831.7239999999999,trop
est-ce que,ADV,,824.5380000000001,est-ce que
peut-être,ADV,,823.796,peut-être
maintenant,ADV,,816.02,maintenant
vraiment,ADV,,690.8700000000001,vraiment
déjà,ADV,,690.026,déjà
comment,ADV,,619.7299999999999,comment
moins,ADV,,574.5219999999999,moins
beaucoup,ADV,,560.168,beaucoup
mieux,ADV,,550.39,mieux
comme,ADV,,492.856,comme
vite,ADV,,435.74,vite
assez,ADV,,412.706,assez
mal,ADV,,412.154,mal
tant,ADV,,402.772,tant
peu,ADV,,376.014,peu
tard,ADV,,347.932,tard
enfin,ADV,,335.606,enfin
ouais,ADV,,335.43199999999996,ouais
loin,ADV,,329.948,loin
seulement,ADV,,326.738,seulement
ainsi,ADV,,312.392,ainsi
demain,ADV,,309.158,demain
longtemps,ADV,,308.432,longtemps
presque,ADV,,295.302,presque
aujourd'hui,ADV,,279.398,aujourd'hui
combien,ADV,,277.56399999999996,combien
plutôt,ADV,,238.536,plutôt
ailleurs,ADV,,215.78400000000002,ailleurs
ensemble,ADV,,210.10999999999999,ensemble
pourtant,ADV,,207.752,pourtant
parfois,ADV,,206.66000000000003,parfois
surtout,ADV,,205.792,surtout
là-bas,ADV,,204.97,là-bas
autour,ADV,,196.832,autour
souvent,ADV,,196.108,souvent
juste,ADV,,195.41,juste
en,ADV,,188.486,en
fort,ADV,,188.25400000000002,fort
autant,ADV,,187.45999999999998,autant
puis,ADV,,186.574,puis
avant,ADV,,181.708,avant
bientôt,ADV,,178.812,bientôt
tellement,ADV,,177.62399999999997,tellement
d'abord,ADV,,172.998,d'abord
hier,ADV,,171.318,hier
après,ADV,,171.1,après
partout,ADV,,156.92000000000002,partout
dehors,ADV,,152.094,dehors
ensuite,ADV,,144.428,ensuite
depuis,ADV,,133.934,depuis
tôt,ADV,,128.692,tôt
exactement,ADV,,123.71600000000001,exactement
debout,ADV,,118.626,debout
doucement,ADV,,113.638,doucement
près,ADV,,110.50200000000001,près
sûrement,ADV,,109.85,sûrement
simplement,ADV,,104.584,simplement
au-dessus,ADV,,96.91000000000001,au-dessus
complètement,ADV,,95.79399999999998,complètement
soudain,ADV,,95.61600000000001,soudain
dessus,ADV,,89.742,dessus
aussitôt,ADV,,84.084,aussitôt
ok,ADV,,82.38799999999999,ok
quelque,ADV,,82.162,quelque
absolument,ADV,,79.254,absolument
lentement,ADV,,78.50800000000001,lentement
derrière,ADV,,77.762,derrière
justement,ADV,,68.52000000000001,justement
cependant,ADV,,67.934,cependant
devant,ADV,,67.924,devant
dedans,ADV,,61.714,dedans
haut,ADV,,60.89999999999999,haut
désormais,ADV,,58.858000000000004,désormais
bon,ADV,,58.374,bon
là-haut,ADV,,57.748000000000005,là-haut
certainement,ADV,,57.068,certainement
davantage,ADV,,56.872,davantage
probablement,ADV,,56.702,probablement
parfaitement,ADV,,55.72,parfaitement
autrefois,ADV,,54.918,autrefois
guère,ADV,,54.48400000000001,guère
là-dedans,ADV,,53.832,là-dedans
évidemment,ADV,,52.182,évidemment
finalement,ADV,,51.102000000000004,finalement
immédiatement,ADV,,50.866,immédiatement
point,ADV,,50.635999999999996,point
lors,ADV,,49.582,lors
autrement,ADV,,49.204,autrement
également,ADV,,47.718,également
brusquement,ADV,,47.496,brusquement
heureusement,ADV,,44.408,heureusement
environ,ADV,,44.302,environ
marre,ADV,,42.76,marre
naturellement,ADV,,41.414,naturellement
rapidement,ADV,,40.95,rapidement
chaud,ADV,,40.14,chaud
apparemment,ADV,,37.66,apparemment
certes,ADV,,36.792,certes
au-delà,ADV,,34.226,au-delà
pis,ADV,,32.954,pis
franchement,ADV,,32.35,franchement
sérieusement,ADV,,32.30800000000001,sérieusement
directement,ADV,,31.686,directement
droit,ADV,,31.644,droit
là-dessus,ADV,,31.534,là-dessus
quelquefois,ADV,,31.310000000000002,quelquefois
facilement,ADV,,30.922,facilement
etc,ADV,,30.34,etc
tantôt,ADV,,30.076000000000004,tantôt
légèrement,ADV,,29.89,légèrement
malheureusement,ADV,,29.642000000000003,malheureusement
cher,ADV,,28.928,cher
bref,ADV,,28.868000000000002,bref
volontiers,ADV,,27.89,volontiers
jadis,ADV,,27.85,jadis
bas,ADV,,27.844,bas
entièrement,ADV,,26.274,entièrement
forcément,ADV,,26.186,forcément
totalement,ADV,,26.036,totalement
longuement,ADV,,25.606,longuement
profondément,ADV,,25.236000000000004,profondément
auparavant,ADV,,25.113999999999997,auparavant
vaguement,ADV,,23.536,vaguement
particulièrement,ADV,,23.516,particulièrement
demi,ADV,,23.496000000000002,demi
uniquement,ADV,,22.98,uniquement
réellement,ADV,,21.61,réellement
précisément,ADV,,21.6,précisément
rarement,ADV,,21.078000000000003,rarement
c'est-à-dire,ADV,,20.784000000000002,c'est-à-dire
suffisamment,ADV,,19.008000000000003,suffisamment
tranquillement,ADV,,18.684,tranquillement
récemment,ADV,,18.67,récemment
clairement,ADV,,18.522,clairement
lourd,ADV,,18.194000000000003,lourd
petit,ADV,,17.544,petit
toutefois,ADV,,17.41,toutefois
normalement,ADV,,17.194,normalement
personnellement,ADV,,17.006,personnellement
beau,ADV,,16.53,beau
jusque-là,ADV,,16.498,jusque-là
drôlement,ADV,,16.418,drôlement
soigneusement,ADV,,15.868,soigneusement
pratiquement,ADV,,15.620000000000001,pratiquement
extrêmement,ADV,,15.598,extrêmement
gentiment,ADV,,15.496,gentiment
vivement,ADV,,15.454,vivement
définitivement,ADV,,15.008000000000003,définitivement
effectivement,ADV,,14.654,effectivement
décidément,ADV,,14.652,décidément
régulièrement,ADV,,14.540000000000001,régulièrement
moitié,ADV,,14.384,moitié
largement,ADV,,14.292000000000002,largement
vachement,ADV,,14.172,vachement
visiblement,ADV,,13.76,visiblement
ben,ADV,,13.616,ben
dessous,ADV,,13.606,dessous
actuellement,ADV,,13.510000000000002,actuellement
sincèrement,ADV,,13.392,sincèrement
infiniment,ADV,,13.146,infiniment
çà,ADV,,13.128,çà
terriblement,ADV,,12.940000000000001,terriblement
carrément,ADV,,12.614,carrément
court,ADV,,12.048000000000002,court
gravement,ADV,,11.75,gravement
spécialement,ADV,,11.68,spécialement
au-dessous,ADV,,11.624,au-dessous
généralement,ADV,,11.43,généralement
discrètement,ADV,,11.384,discrètement
voire,ADV,,11.208,voire
constamment,ADV,,11.18,constamment
brutalement,ADV,,10.978,brutalement
énormément,ADV,,10.713999999999999,énormément
naguère,ADV,,10.184,naguère
net,ADV,,10.062000000000001,net
nettement,ADV,,10.038,nettement
violemment,ADV,,10.032,violemment
sitôt,ADV,,9.802,sitôt
après-demain,ADV,,9.766,après-demain
attentivement,ADV,,9.756,attentivement
contrairement,ADV,,9.437999999999999,contrairement
notamment,ADV,,9.4,notamment
machinalement,ADV,,9.342,machinalement
soit,ADV,,9.304,soit
librement,ADV,,9.216000000000001,librement
proprement,ADV,,9.212,proprement
officiellement,ADV,,9.19,officiellement
honnêtement,ADV,,9.128,honnêtement
calmement,ADV,,9.016,calmement
bizarrement,ADV,,9.0,bizarrement
près de,ADV,,9.0,près de
subitement,ADV,,8.85,subitement
fortement,ADV,,8.822,fortement
correctement,ADV,,8.812,correctement
éternellement,ADV,,8.778,éternellement
physiquement,ADV,,8.72,physiquement
quasi,ADV,,8.558,quasi
sur-le-champ,ADV,,8.454,sur-le-champ
étrangement,ADV,,8.254,étrangement
gaiement,ADV,,8.036,gaiement
précédemment,ADV,,7.752,précédemment
néanmoins,ADV,,7.646000000000001,néanmoins
ci,ADV,,7.598,ci
littéralement,ADV,,7.542,littéralement
avant-hier,ADV,,7.526,avant-hier
silencieusement,ADV,,7.458000000000001,silencieusement
difficilement,ADV,,7.448,difficilement
delà,ADV,,7.318,delà
dernièrement,ADV,,7.284,dernièrement
bêtement,ADV,,7.247999999999999,bêtement
quasiment,ADV,,7.244,quasiment
tendrement,ADV,,7.188000000000001,tendrement
durement,ADV,,7.15,durement
faiblement,ADV,,7.146,faiblement
secrètement,ADV,,7.136,secrètement
grand,ADV,,7.117999999999999,grand
dorénavant,ADV,,7.0760000000000005,dorénavant
lourdement,ADV,,6.986000000000001,lourdement
désespérément,ADV,,6.772,désespérément
différemment,ADV,,6.752000000000001,différemment
doux,ADV,,6.6739999999999995,doux
nullement,ADV,,6.546,nullement
soudainement,ADV,,6.404,soudainement
curieusement,ADV,,6.276,curieusement
aisément,ADV,,6.182,aisément
manifestement,ADV,,6.178,manifestement
relativement,ADV,,6.148000000000001,relativement
strictement,ADV,,6.134,strictement
purement,ADV,,6.122,purement
assurément,ADV,,6.078,assurément
là-dessous,ADV,,6.0,là-dessous
poliment,ADV,,5.974,poliment
volontairement,ADV,,5.802,volontairement
indéfiniment,ADV,,5.736000000000001,indéfiniment
tristement,ADV,,5.73,tristement
faux,ADV,,5.646,faux
entre-temps,ADV,,5.612,entre-temps
prudemment,ADV,,5.6,prudemment
fermement,ADV,,5.588000000000001,fermement
patiemment,ADV,,5.51,patiemment
par-ci,ADV,,5.507999999999999,par-ci
habituellement,ADV,,5.491999999999999,habituellement
rudement,ADV,,5.48,rudement
distraitement,ADV,,5.47,distraitement
exclusivement,ADV,,5.366,exclusivement
étroitement,ADV,,5.23,étroitement
successivement,ADV,,5.220000000000001,successivement
sagement,ADV,,5.218000000000001,sagement
mentalement,ADV,,5.1899999999999995,mentalement
pleinement,ADV,,5.172000000000001,pleinement
vainement,ADV,,5.166,vainement
incroyablement,ADV,,5.1419999999999995,incroyablement
au-dehors,ADV,,5.114000000000001,au-dehors
follement,ADV,,5.058,follement
pareil,ADV,,5.058,pareil
nécessairement,ADV,,5.042,nécessairement
délicatement,ADV,,5.024,délicatement
au-devant,ADV,,5.0200000000000005,au-devant
merveilleusement,ADV,,4.99,merveilleusement
gratuitement,ADV,,4.986000000000001,gratuitement
paisiblement,ADV,,4.9079999999999995,paisiblement
péniblement,ADV,,4.848,péniblement
sèchement,ADV,,4.83,sèchement
mollement,ADV,,4.8180000000000005,mollement
alias,ADV,,4.8100000000000005,alias
exprès,ADV,,4.806,exprès
hautement,ADV,,4.790000000000001,hautement
bruyamment,ADV,,4.7860000000000005,bruyamment
outre,ADV,,4.7620000000000005,outre
raide,ADV,,4.7620000000000005,raide
fixement,ADV,,4.702,fixement
instinctivement,ADV,,4.684000000000001,instinctivement
précipitamment,ADV,,4.65,précipitamment
cash,ADV,,4.593999999999999,cash
principalement,ADV,,4.5920000000000005,principalement
passionnément,ADV,,4.5840000000000005,passionnément
timidement,ADV,,4.548,timidement
alentour,ADV,,4.546,alentour
publiquement,ADV,,4.510000000000001,publiquement
quoique,ADV,,4.486000000000001,quoique
solidement,ADV,,4.486,solidement
sacrément,ADV,,4.47,sacrément
joyeusement,ADV,,4.44,joyeusement
obstinément,ADV,,4.396,obstinément
out,ADV,,4.388,out
hyper,ADV,,4.376,hyper
cruellement,ADV,,4.336,cruellement
instantanément,ADV,,4.3180000000000005,instantanément
ouvertement,ADV,,4.284000000000001,ouvertement
insensiblement,ADV,,4.224,insensiblement
ter,ADV,,4.216000000000001,ter
froidement,ADV,,4.184,froidement
illico,ADV,,4.178,illico
progressivement,ADV,,4.16,progressivement
affreusement,ADV,,4.122,affreusement
d'emblée,ADV,,4.11,d'emblée
moralement,ADV,,4.108,moralement
techniquement,ADV,,4.096,techniquement
inlassablement,ADV,,4.064,inlassablement
mollo,ADV,,4.058,mollo
délibérément,ADV,,4.054,délibérément
spontanément,ADV,,4.054,spontanément
provisoirement,ADV,,4.048,provisoirement
fraîchement,ADV,,4.026,fraîchement
confusément,ADV,,4.018,confusément
premièrement,ADV,,4.01,premièrement
maladroitement,ADV,,3.998,maladroitement
fréquemment,ADV,,3.992,fréquemment
imperceptiblement,ADV,,3.9760000000000004,imperceptiblement
intensément,ADV,,3.9540000000000006,intensément
fièrement,ADV,,3.926,fièrement
séparément,ADV,,3.9179999999999997,séparément
sévèrement,ADV,,3.9080000000000004,sévèrement
gratis,ADV,,3.878,gratis
mutuellement,ADV,,3.8760000000000003,mutuellement
à tâtons,ADV,,3.872,à tâtons
légalement,ADV,,3.8659999999999997,légalement
svp,ADV,,3.844,svp
éventuellement,ADV,,3.8179999999999996,éventuellement
méchamment,ADV,,3.792,méchamment
salement,ADV,,3.772,salement
horriblement,ADV,,3.75,horriblement
inconsciemment,ADV,,3.7120000000000006,inconsciemment
mystérieusement,ADV,,3.706,mystérieusement
convenablement,ADV,,3.7,convenablement
extraordinairement,ADV,,3.6799999999999997,extraordinairement
brièvement,ADV,,3.6399999999999997,brièvement
dangereusement,ADV,,3.63,dangereusement
essentiellement,ADV,,3.61,essentiellement
distinctement,ADV,,3.592,distinctement
véritablement,ADV,,3.5699999999999994,véritablement
faussement,ADV,,3.56,faussement
conformément,ADV,,3.558,conformément
solennellement,ADV,,3.5220000000000002,solennellement
singulièrement,ADV,,3.5100000000000002,singulièrement
joliment,ADV,,3.4779999999999998,joliment
furieusement,ADV,,3.442,furieusement
à l'improviste,ADV,,3.414,à l'improviste
posément,ADV,,3.4120000000000004,posément
négligemment,ADV,,3.404,négligemment
franco,ADV,,3.402,franco
sauvagement,ADV,,3.4000000000000004,sauvagement
ici-bas,ADV,,3.3360000000000003,ici-bas
primo,ADV,,3.324,primo
pêle-mêle,ADV,,3.2960000000000003,pêle-mêle
rebours,ADV,,3.2760000000000002,rebours
intérieurement,ADV,,3.178,intérieurement
nerveusement,ADV,,3.1720000000000006,nerveusement
sexuellement,ADV,,3.118,sexuellement
automatiquement,ADV,,3.106,automatiquement
vraisemblablement,ADV,,3.106,vraisemblablement
deuxièmement,ADV,,3.0999999999999996,deuxièmement
simultanément,ADV,,3.098,simultanément
arrière,ADV,,3.07,arrière
sus,ADV,,3.002,sus
finement,ADV,,2.9699999999999998,finement
inutilement,ADV,,2.962,inutilement
aucunement,ADV,,2.9299999999999997,aucunement
continuellement,ADV,,2.9219999999999997,continuellement
ardemment,ADV,,2.914,ardemment
généreusement,ADV,,2.8980000000000006,généreusement
éperdument,ADV,,2.8779999999999997,éperdument
aux aguets,ADV,,2.8739999999999997,aux aguets
momentanément,ADV,,2.854,momentanément
douloureusement,ADV,,2.8160000000000003,douloureusement
humblement,ADV,,2.816,humblement
obscurément,ADV,,2.79,obscurément
politiquement,ADV,,2.746,politiquement
contrebas,ADV,,2.734,contrebas
furtivement,ADV,,2.706,furtivement
formellement,ADV,,2.7,formellement
bonnement,ADV,,2.686,bonnement
avidement,ADV,,2.66,avidement
gratos,ADV,,2.636,gratos
atrocement,ADV,,2.6340000000000003,atrocement
théoriquement,ADV,,2.628,théoriquement
sourdement,ADV,,2.62,sourdement
miraculeusement,ADV,,2.6160000000000005,miraculeusement
