lemme,cgram,genre,freqlem,forms
chose,NOM,f,1487.2279999999998,"chose, choses"
homme,NOM,m,1233.67,"homme, hommes"
jour,NOM,m,1173.8560000000002,"jour, jours"
temps,NOM,m,1134.386,temps
femme,NOM,f,1027.888,"femme, femmes"
fois,NOM,f,995.55,fois
vie,NOM,f,954.056,"vie, vies"
peu,NOM,m,946.22,peu
père,NOM,m,826.7339999999999,"père, pères"
heure,NOM,f,795.4939999999999,"heure, heures"
monde,NOM,m,794.972,"monde, mondes"
an,NOM,m,794.2719999999999,"an, ans"
main,NOM,,791.5160000000001,"main, mains"
fille,NOM,f,741.828,"fille, filles"
oeil,NOM,m,741.6600000000001,"oeil, yeux"
enfant,NOM,,731.626,"enfant, enfants"
mère,NOM,f,716.586,"mère, mères"
dieu,NOM,m,700.6419999999999,"dieu, dieux"
tête,NOM,f,654.902,"tête, têtes"
nuit,NOM,f,647.22,"nuit, nuits"
coup,NOM,m,618.172,"coup, coups"
maison,NOM,,593.586,"maison, maisons"
ami,NOM,m,590.436,ami/amie amis/amies
monsieur,NOM,m,573.4159999999999,"monsieur, messieurs"
soir,NOM,m,570.476,"soir, soirs"
besoin,NOM,m,569.3919999999999,"besoin, besoins"
air,NOM,m,567.432,"air, airs"
moment,NOM,m,535.45,"moment, moments"
gens,NOM,,520.3299999999999,gens
accord,NOM,m,514.1800000000001,"accord, accords"
nom,NOM,m,500.402,"nom, noms"
peur,NOM,f,459.002,"peur, peurs"
mort,NOM,,457.11,mort/morte morts/mortes
porte,NOM,f,447.282,"porte, portes"
amour,NOM,m,436.53,"amour, amours"
raison,NOM,f,404.276,"raison, raisons"
côté,NOM,m,398.19,"côté, côtés"
fait,NOM,m,389.45799999999997,"fait, faits"
mot,NOM,m,389.24199999999996,"mot, mots"
fils,NOM,m,387.14599999999996,fils
argent,NOM,m,386.81600000000003,"argent, argents"
maman,NOM,f,381.88200000000006,"maman, mamans"
question,NOM,f,378.472,"question, questions"
voiture,NOM,,370.884,"voiture, voitures"
place,NOM,f,368.212,"place, places"
eau,NOM,f,367.38800000000003,"eau, eaux"
idée,NOM,f,365.24199999999996,"idée, idées"
bonjour,NOM,m,362.96200000000005,"bonjour, bonjours"
histoire,NOM,f,359.764,"histoire, histoires"
terre,NOM,f,357.834,"terre, terres"
problème,NOM,m,350.04200000000003,"problème, problèmes"
corps,NOM,m,342.226,corps
famille,NOM,f,340.70799999999997,"famille, familles"
