lemme,cgram,genre,freqlem,forms
oh,ONO,,617.348,oh
merci,ONO,,578.55,merci
ah,ONO,,464.782,ah
bon,ONO,,356.67600000000004,bon
eh,ONO,,302.248,eh
hein,ONO,,297.7,hein
hé,ONO,,184.97400000000002,hé
tiens,ONO,,160.55,tiens
merde,ONO,,146.416,merde
pardon,ONO,,132.694,pardon
salut,ONO,,124.47999999999999,salut
comment,ONO,,105.928,comment
attention,ONO,,104.0,attention
allô,ONO,,75.35799999999999,allô
euh,ONO,,71.504,euh
bravo,ONO,,32.552,bravo
hélas,ONO,,28.418,hélas
adieu,ONO,,26.764,adieu
vive,ONO,,26.406,vive
là,ONO,,24.822,là
heu,ONO,,23.778,heu
ô,ONO,,22.891999999999996,ô
hum,ONO,,22.426,hum
hop,ONO,,21.588,hop
chut,ONO,,20.534,chut
allo,ONO,,19.53,allo
bah,ONO,,18.474,bah
dehors,ONO,,18.381999999999998,dehors
dommage,ONO,,17.663999999999998,dommage
ha,ONO,,16.003999999999998,ha
bye,ONO,,14.677999999999999,bye
aïe,ONO,,14.302,aïe
ho,ONO,,13.928,ho
amen,ONO,,12.711999999999998,amen
zut,ONO,,11.078,zut
ciao,ONO,,10.68,ciao
halte,ONO,,10.102,halte
mince,ONO,,9.907999999999998,mince
yeah,ONO,,8.514,yeah
déjà,ONO,,7.827999999999999,déjà
gare,ONO,,7.609999999999999,gare
hou,ONO,,7.298,hou
hello,ONO,,7.088,hello
da,ONO,,6.108,da
ouah,ONO,,6.0920000000000005,ouah
ouf,ONO,,5.554,ouf
fi,ONO,,4.816,fi
hi,ONO,,4.45,hi
boudu,ONO,,4.449999999999999,boudu
pardi,ONO,,4.084,pardi
boum,ONO,,3.956,boum
bof,ONO,,3.9559999999999995,bof
ouste,ONO,,3.8720000000000003,ouste
ouh,ONO,,3.812,ouh
na,ONO,,3.7199999999999998,na
diable,ONO,,3.714,diable
ohé,ONO,,3.656,ohé
alerte,ONO,,3.5700000000000003,alerte
holà,ONO,,3.5700000000000003,holà
hourra,ONO,,3.4319999999999995,hourra
hip,ONO,,3.146,hip
chouette,ONO,,2.86,chouette
pan,ONO,,2.846,pan
ding,ONO,,2.744,ding
beurk,ONO,,2.622,beurk
tchao,ONO,,2.162,tchao
hue,ONO,,2.01,hue
miam,ONO,,1.9899999999999998,miam
hep,ONO,,1.948,hep
vlan,ONO,,1.9020000000000001,vlan
basta,ONO,,1.8859999999999997,basta
bing,ONO,,1.79,bing
alléluia,ONO,,1.736,alléluia
parbleu,ONO,,1.708,parbleu
arrière,ONO,,1.706,arrière
clac,ONO,,1.6620000000000001,clac
olé,ONO,,1.6099999999999999,olé
bye-bye,ONO,,1.552,bye-bye
plouf,ONO,,1.4060000000000001,plouf
calmos,ONO,,1.366,calmos
zou,ONO,,1.332,zou
tintin,ONO,,1.324,tintin
tap,ONO,,1.318,tap
sapristi,ONO,,1.286,sapristi
pouah,ONO,,1.262,pouah
floc,ONO,,1.226,floc
dame,ONO,,1.202,dame
berk,ONO,,1.19,berk
ouille,ONO,,1.15,ouille
fichtre,ONO,,1.142,fichtre
bang,ONO,,1.124,bang
pff,ONO,,1.1179999999999999,pff
quoi,ONO,,1.086,quoi
chic,ONO,,0.992,chic
bé,ONO,,0.97,bé
dong,ONO,,0.962,dong
hugh,ONO,,0.9359999999999999,hugh
motus,ONO,,0.932,motus
brrr,ONO,,0.9140000000000001,brrr
patati,ONO,,0.9020000000000001,patati
youpi,ONO,,0.8880000000000001,youpi
cré,ONO,,0.8680000000000001,cré
haha,ONO,,0.842,haha
peuh,ONO,,0.8320000000000001,peuh
beu,ONO,,0.8180000000000001,beu
sacrebleu,ONO,,0.8079999999999999,sacrebleu
wouah,ONO,,0.802,wouah
hai,ONO,,0.796,hai
ouiche,ONO,,0.796,ouiche
tudieu,ONO,,0.774,tudieu
mouais,ONO,,0.77,mouais
hon,ONO,,0.746,hon
chiche,ONO,,0.746,chiche
dia,ONO,,0.734,dia
tagada,ONO,,0.73,tagada
pfft,ONO,,0.696,pfft
té,ONO,,0.6679999999999999,té
patata,ONO,,0.6519999999999999,patata
ploc,ONO,,0.634,ploc
miam-miam,ONO,,0.6080000000000001,miam-miam
hisse,ONO,,0.556,hisse
gnagnagna,ONO,,0.546,gnagnagna
grâce,ONO,,0.528,grâce
meuh,ONO,,0.524,meuh
mazette,ONO,,0.516,mazette
pouce,ONO,,0.516,pouce
bigre,ONO,,0.498,bigre
caramba,ONO,,0.49,caramba
gy,ONO,,0.45999999999999996,gy
clic,ONO,,0.44400000000000006,clic
flac,ONO,,0.43800000000000006,flac
dring,ONO,,0.436,dring
rebelote,ONO,,0.43400000000000005,rebelote
lala,ONO,,0.42400000000000004,lala
banco,ONO,,0.41600000000000004,banco
taïaut,ONO,,0.416,taïaut
broum,ONO,,0.41,broum
pardieu,ONO,,0.404,pardieu
crénom,ONO,,0.40399999999999997,crénom
saperlipopette,ONO,,0.4,saperlipopette
pouf,ONO,,0.398,pouf
prosit,ONO,,0.392,prosit
pschitt,ONO,,0.392,pschitt
bim,ONO,,0.392,bim
houhou,ONO,,0.384,houhou
morbleu,ONO,,0.38,morbleu
youp,ONO,,0.374,youp
las,ONO,,0.368,las
badaboum,ONO,,0.368,badaboum
vroum,ONO,,0.364,vroum
inch allah,ONO,,0.35,inch allah
hurrah,ONO,,0.346,hurrah
diantre,ONO,,0.332,diantre
hom,ONO,,0.324,hom
houlà,ONO,,0.322,houlà
hare,ONO,,0.322,hare
damned,ONO,,0.32,damned
peste,ONO,,0.32,peste
taratata,ONO,,0.31,taratata
baste,ONO,,0.308,baste
niet,ONO,,0.30600000000000005,niet
bougre,ONO,,0.302,bougre
dig,ONO,,0.28200000000000003,dig
splash,ONO,,0.27,splash
pst,ONO,,0.258,pst
balpeau,ONO,,0.25,balpeau
hardi,ONO,,0.25,hardi
peuchère,ONO,,0.248,peuchère
patatras,ONO,,0.24000000000000002,patatras
snif,ONO,,0.23600000000000002,snif
pouh,ONO,,0.22400000000000003,pouh
vlouf,ONO,,0.21600000000000003,vlouf
sniff,ONO,,0.20800000000000002,sniff
vroom,ONO,,0.20600000000000002,vroom
oust,ONO,,0.20600000000000002,oust
sacredieu,ONO,,0.198,sacredieu
tchin tchin,ONO,,0.194,tchin tchin
atchoum,ONO,,0.192,atchoum
oui-da,ONO,,0.19,oui-da
bernique,ONO,,0.188,bernique
pouic,ONO,,0.188,pouic
hi-han,ONO,,0.176,hi-han
flop,ONO,,0.16400000000000003,flop
polope,ONO,,0.164,polope
vertubleu,ONO,,0.162,vertubleu
hem,ONO,,0.14,hem
gna gna,ONO,,0.14,gna gna
pin-pon,ONO,,0.136,pin-pon
prout,ONO,,0.132,prout
tchin-tchin,ONO,,0.12200000000000001,tchin-tchin
