lemme,cgram,genre,freqlem,forms
être,VER,,25376.087999999996,"être, été (étant)"
avoir,VER,,10714.036,"avoir, eu/eue (ayant)"
faire,VER,,7419.683999999999,"faire, fait/faite (faisant)"
aller,VER,,7137.634,"aller, allé/allée (allant)"
dire,VER,,5500.69,"dire, dit/dite (disant)"
pouvoir,VER,,4378.602000000001,"pouvoir, pu (pouvant)"
vouloir,VER,,3805.636,"vouloir, voulu/voulue (voulant)"
savoir,VER,,3511.4579999999996,"savoir, su/sue (sachant)"
voir,VER,,3432.362,"voir, vu/vue (voyant)"
devoir,VER,,2466.814,"devoir, dû/due (devant)"
venir,VER,,2264.1040000000003,"venir, venu/venue (venant)"
prendre,VER,,1734.866,"prendre, pris/prise (prenant)"
suivre,VER,,1633.9719999999998,"suivre, suivi/suivie (suivant)"
parler,VER,,1616.734,"parler, parlé/parlée (parlant)"
falloir,VER,,1492.42,"falloir, fallu"
croire,VER,,1406.086,"croire, cru/crue (croyant)"
passer,VER,,1363.402,"passer, passé/passée (passant)"
aimer,VER,,1311.286,"aimer, aimé/aimée (aimant)"
penser,VER,,1239.202,"penser, pensé/pensée (pensant)"
trouver,VER,,1190.2939999999999,"trouver, trouvé/trouvée (trouvant)"
laisser,VER,,1141.08,"laisser, laissé/laissée (laissant)"
regarder,VER,,1117.538,"regarder, regardé/regardée (regardant)"
attendre,VER,,1093.5520000000001,"attendre, attendu/attendue (attendant)"
donner,VER,,1084.2060000000001,"donner, donné/donnée (donnant)"
arriver,VER,,1040.6680000000001,"arriver, arrivé/arrivée (arrivant)"
mettre,VER,,1036.386,"mettre, mis/mise (mettant)"
demander,VER,,939.646,"demander, demandé/demandée (demandant)"
rester,VER,,919.6479999999999,"rester, resté/restée (restant)"
appeler,VER,,885.424,"appeler, appelé/appelée (appelant)"
partir,VER,,861.4540000000001,"partir, parti/partie (partant)"
connaître,VER,,828.3219999999999,"connaître, connu/connue (connaissant)"
comprendre,VER,,782.026,"comprendre, compris/comprise (comprenant)"
sortir,VER,,781.584,"sortir, sorti/sortie (sortant)"
arrêter,VER,,781.274,"arrêter, arrêté/arrêtée (arrêtant)"
entendre,VER,,724.8499999999999,"entendre, entendu/entendue (entendant)"
mourir,VER,,706.2719999999999,"mourir, mort/morte (mourant)"
tuer,VER,,625.2959999999999,"tuer, tué/tuée (tuant)"
sentir,VER,,608.752,"sentir, senti/sentie (sentant)"
chercher,VER,,607.072,"chercher, cherché/cherchée (cherchant)"
tenir,VER,,599.3019999999999,"tenir, tenu/tenue (tenant)"
revenir,VER,,567.3879999999999,"revenir, revenu/revenue (revenant)"
essayer,VER,,520.9159999999999,"essayer, essayé/essayée (essayant)"
finir,VER,,501.754,"finir, fini/finie (finissant)"
rendre,VER,,492.53000000000003,"rendre, rendu/rendue (rendant)"
vivre,VER,,490.25,"vivre, vécu/vécue (vivant)"
perdre,VER,,478.59200000000004,"perdre, perdu/perdue (perdant)"
jouer,VER,,476.96400000000006,"jouer, joué/jouée (jouant)"
aider,VER,,476.68600000000004,"aider, aidé/aidée (aidant)"
devenir,VER,,476.546,"devenir, devenu/devenue (devenant)"
ouvrir,VER,,444.99199999999996,"ouvrir, ouvert/ouverte (ouvrant)"
rentrer,VER,,431.47799999999995,"rentrer, rentré/rentrée (rentrant)"
commencer,VER,,430.8539999999999,"commencer, commencé/commencée (commençant)"
entrer,VER,,429.418,"entrer, entré/entrée (entrant)"
tomber,VER,,421.26,"tomber, tombé/tombée (tombant)"
plaire,VER,,420.24600000000004,plaire (plaisant)
écouter,VER,,408.178,"écouter, écouté/écoutée (écoutant)"
oublier,VER,,406.96,"oublier, oublié/oubliée (oubliant)"
tirer,VER,,402.38,"tirer, tiré/tirée (tirant)"
