lemme,cgram,genre,freqlem,forms
ce,ADJ:dem,m,2618.17,ce
cette,ADJ:dem,f,2069.634,cette
ces,ADJ:dem,,1352.5059999999999,ces
cet,ADJ:dem,m,498.946,cet
tout,ADJ:ind,m,3037.79,tout
quelque,ADJ:ind,,753.874,quelque
quelques,ADJ:ind,,495.438,quelques
chaque,ADJ:ind,,342.314,chaque
aucune,ADJ:ind,f,194.09199999999998,aucune
aucun,ADJ:ind,m,177.848,aucun
toute,ADJ:ind,f,148.696,toute
certain,ADJ:ind,m,135.19799999999998,certain
d'autres,ADJ:ind,,127.89600000000002,d'autres
plusieurs,ADJ:ind,,121.62000000000002,plusieurs
tel,ADJ:ind,m,86.436,tel
telle,ADJ:ind,f,76.694,telle
certains,ADJ:ind,m,75.06,certains
certaines,ADJ:ind,f,49.666,certaines
nul,ADJ:ind,m,40.746,nul
nulle,ADJ:ind,f,35.784000000000006,nulle
toutes,ADJ:ind,f,30.196,toutes
la plupart des,ADJ:ind,,25.75,la plupart des
divers,ADJ:ind,m,25.476000000000006,divers
tels,ADJ:ind,m,20.246000000000002,tels
telles,ADJ:ind,f,19.936,telles
la plupart du,ADJ:ind,,6.206,la plupart du
maintes,ADJ:ind,f,5.359999999999999,maintes
la plupart de,ADJ:ind,,5.284,la plupart de
diverses,ADJ:ind,f,5.064,diverses
différents,ADJ:ind,m,3.5,différents
force,ADJ:ind,,2.79,force
certaine,ADJ:ind,f,2.5620000000000003,certaine
aucuns,ADJ:ind,m,1.976,aucuns
maints,ADJ:ind,m,1.96,maints
maint,ADJ:ind,m,0.926,maint
aucunes,ADJ:ind,f,0.674,aucunes
mainte,ADJ:ind,f,0.608,mainte
nuls,ADJ:ind,m,0.514,nuls
nulles,ADJ:ind,f,0.382,nulles
tout-fait,ADJ:ind,m,0.084,tout-fait
quel,ADJ:int,m,500.76200000000006,quel
quelle,ADJ:int,f,405.28599999999994,quelle
quels,ADJ:int,m,48.756,quels
quelles,ADJ:int,f,42.532000000000004,quelles
mon,ADJ:pos,,3232.582,mon
son,ADJ:pos,,2922.718,son
sa,ADJ:pos,,2258.746,sa
ma,ADJ:pos,,2075.004,ma
ses,ADJ:pos,,1696.772,ses
votre,ADJ:pos,,1307.618,votre
ton,ADJ:pos,,1158.18,ton
mes,ADJ:pos,,1070.5819999999999,mes
notre,ADJ:pos,,886.0360000000001,notre
ta,ADJ:pos,,860.258,ta
nos,ADJ:pos,,546.454,nos
leurs,ADJ:pos,,500.756,leurs
tes,ADJ:pos,,472.144,tes
vos,ADJ:pos,,461.55,vos
mienne,ADJ:pos,f,3.122,mienne
tiens,ADJ:pos,,2.4979999999999998,tiens
tienne,ADJ:pos,f,2.086,tienne
vôtre,ADJ:pos,,1.346,vôtre
mien,ADJ:pos,m,1.262,mien
sienne,ADJ:pos,f,1.176,sienne
tien,ADJ:pos,m,0.888,tien
nôtre,ADJ:pos,,0.8200000000000001,nôtre
miennes,ADJ:pos,f,0.6240000000000001,miennes
sien,ADJ:pos,m,0.6000000000000001,sien
miens,ADJ:pos,m,0.564,miens
siens,ADJ:pos,m,0.45400000000000007,siens
siennes,ADJ:pos,f,0.31800000000000006,siennes
tiennes,ADJ:pos,f,0.23399999999999999,tiennes
vôtres,ADJ:pos,,0.20400000000000001,vôtres
nôtres,ADJ:pos,,0.192,nôtres
tiens-la-moi,ADJ:pos,m,0.084,tiens-la-moi
la,ART:def,f,18421.456,la
le,ART:def,m,15516.036,le
les,ART:def,,11097.148,les
l',ART:def,m,9976.35,l'
du,ART:def,m,5389.683999999999,du
au,ART:def,m,4371.65,au
aux,ART:def,,1264.4180000000001,aux
l,ART:def,,48.524,l
la-la-la,ART:def,f,0.11200000000000002,la-la-la
de,ART:def,f,0.06,de
un,ART:ind,m,12672.844000000001,un
une,ART:ind,f,8579.898000000001,une
des,ART:ind,,7883.398000000001,des
pa,ART:ind,m,0.006,pa
avoir,AUX,,16255.856000000002,"avoir, eu/eue (ayant)"
être,AUX,,7445.272,"être, été (étant)"
aurai,AUX,,0.006,aurai
et,CON,,16097.34,et
mais,CON,,4892.918,mais
comme,CON,,2767.376,comme
ou,CON,,1922.314,ou
quand,CON,,1688.78,quand
si,CON,,1198.254,si
s',CON,,734.826,s'
donc,CON,,545.858,donc
pourquoi,CON,,512.506,pourquoi
ni,CON,,491.528,ni
puis,CON,,488.282,puis
parce que,CON,,460.08399999999995,parce que
comment,CON,,431.538,comment
car,CON,,330.048,car
sinon,CON,,134.614,sinon
lorsque,CON,,112.45200000000001,lorsque
puisque,CON,,88.182,puisque
tandis que,CON,,63.48400000000001,tandis que
soit,CON,,53.618,soit
or,CON,,36.385999999999996,or
quoique,CON,,14.628,quoique
qu,CON,,13.861999999999998,qu
afin que,CON,,11.75,afin que
néanmoins,CON,,8.16,néanmoins
cependant,CON,,6.327999999999999,cependant
parce qu,CON,,3.4219999999999997,parce qu
because,CON,,2.072,because
s,CON,,2.064,s
pasque,CON,,0.7060000000000001,pasque
puissamment,CON,,0.452,puissamment
tandis qu,CON,,0.034,tandis qu
afin qu,CON,,0.03,afin qu
lorsqu,CON,,0.024,lorsqu
puisqu,CON,,0.018,puisqu
ains,CON,,0.012,ains
l',LIA,,165.02800000000002,l'
de,PRE,,30704.084,de
à,PRE,,14997.86,à
d',PRE,,9085.384,d'
en,PRE,,6906.836,en
pour,PRE,,6726.426,pour
dans,PRE,,6113.586,dans
avec,PRE,,3823.098,avec
sur,PRE,,3640.254,sur
par,PRE,,2542.648,par
sans,PRE,,1491.712,sans
chez,PRE,,777.5239999999999,chez
après,PRE,,684.972,après
