Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
être,быть,"<span class=""pronoun"">je</span> {{c1::suis}}<br><span class=""pronoun"">tu</span> {{c1::es}}<br><span class=""pronoun"">il/elle</span> {{c1::est}}","<span class=""pronoun"">nous</span> {{c2::sommes}}<br><span class=""pronoun"">vous</span> {{c2::êtes}}<br><span class=""pronoun"">ils/elles</span> {{c2::sont}}",auxiliaire,Très irrégulier! Je suis québécois(e).
avoir,иметь,"<span class=""pronoun"">j'</span>{{c1::ai}}<br><span class=""pronoun"">tu</span> {{c1::as}}<br><span class=""pronoun"">il/elle</span> {{c1::a}}","<span class=""pronoun"">nous</span> {{c2::avons}}<br><span class=""pronoun"">vous</span> {{c2::avez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ont}}",auxiliaire,Très irrégulier! J'ai 30 ans.
faire,делать,"<span class=""pronoun"">je</span> {{c1::fais}}<br><span class=""pronoun"">tu</span> {{c1::fais}}<br><span class=""pronoun"">il/elle</span> {{c1::fait}}","<span class=""pronoun"">nous</span> {{c2::faisons}}<br><span class=""pronoun"">vous</span> {{c2::faites}}<br><span class=""pronoun"">ils/elles</span> {{c2::font}}",très irrégulier,Attention: vous faites (pas *faisez). Il fait beau.
aller,"идти, ехать","<span class=""pronoun"">je</span> {{c1::vais}}<br><span class=""pronoun"">tu</span> {{c1::vas}}<br><span class=""pronoun"">il/elle</span> {{c1::va}}","<span class=""pronoun"">nous</span> {{c2::allons}}<br><span class=""pronoun"">vous</span> {{c2::allez}}<br><span class=""pronoun"">ils/elles</span> {{c2::vont}}",3e groupe (-er),Seul verbe en -er du 3e groupe! Futur proche: je vais + inf.
dire,сказать,"<span class=""pronoun"">je</span> {{c1::dis}}<br><span class=""pronoun"">tu</span> {{c1::dis}}<br><span class=""pronoun"">il/elle</span> {{c1::dit}}","<span class=""pronoun"">nous</span> {{c2::disons}}<br><span class=""pronoun"">vous</span> {{c2::dites}}<br><span class=""pronoun"">ils/elles</span> {{c2::disent}}",irrégulier -ire,Attention: vous dites (pas *disez).
pouvoir,мочь,"<span class=""pronoun"">je</span> {{c1::peux}}<br><span class=""pronoun"">tu</span> {{c1::peux}}<br><span class=""pronoun"">il/elle</span> {{c1::peut}}","<span class=""pronoun"">nous</span> {{c2::pouvons}}<br><span class=""pronoun"">vous</span> {{c2::pouvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::peuvent}}",-oir (peux/pouv-),"2 radicaux: peux/peut (sing), pouv- (plur). Puis-je? (forme soutenue)"
vouloir,хотеть,"<span class=""pronoun"">je</span> {{c1::veux}}<br><span class=""pronoun"">tu</span> {{c1::veux}}<br><span class=""pronoun"">il/elle</span> {{c1::veut}}","<span class=""pronoun"">nous</span> {{c2::voulons}}<br><span class=""pronoun"">vous</span> {{c2::voulez}}<br><span class=""pronoun"">ils/elles</span> {{c2::veulent}}",-oir (veux/voul-),"2 radicaux: veux/veut (sing), voul- (plur). Je voudrais (conditionnel)."
savoir,знать,"<span class=""pronoun"">je</span> {{c1::sais}}<br><span class=""pronoun"">tu</span> {{c1::sais}}<br><span class=""pronoun"">il/elle</span> {{c1::sait}}","<span class=""pronoun"">nous</span> {{c2::savons}}<br><span class=""pronoun"">vous</span> {{c2::savez}}<br><span class=""pronoun"">ils/elles</span> {{c2::savent}}",-oir (sais/sav-),"2 radicaux: sais/sait (sing), sav- (plur). Savoir vs connaître!"
voir,видеть,"<span class=""pronoun"">je</span> {{c1::vois}}<br><span class=""pronoun"">tu</span> {{c1::vois}}<br><span class=""pronoun"">il/elle</span> {{c1::voit}}","<span class=""pronoun"">nous</span> {{c2::voyons}}<br><span class=""pronoun"">vous</span> {{c2::voyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::voient}}",-oir (vois/voy-),"Composés: revoir, prévoir. On voit bien."
devoir,долженствовать,"<span class=""pronoun"">je</span> {{c1::dois}}<br><span class=""pronoun"">tu</span> {{c1::dois}}<br><span class=""pronoun"">il/elle</span> {{c1::doit}}","<span class=""pronoun"">nous</span> {{c2::devons}}<br><span class=""pronoun"">vous</span> {{c2::devez}}<br><span class=""pronoun"">ils/elles</span> {{c2::doivent}}",-evoir,Je dois partir. Tu dois faire attention.
