Verb,Translation,Tense,ConjSingular,ConjPlural,Notes
être,быть,Présent,"je {{c1::suis}}, tu {{c1::es}}, il {{c1::est}}","nous {{c2::sommes}}, vous {{c2::êtes}}, ils {{c2::sont}}",auxiliaire
avoir,иметь,Présent,"je {{c1::ai}}, tu {{c1::as}}, il {{c1::a}}","nous {{c2::avons}}, vous {{c2::avez}}, ils {{c2::ont}}",auxiliaire
faire,делать,Présent,"je {{c1::fais}}, tu {{c1::fais}}, il {{c1::fait}}","nous {{c2::faisons}}, vous {{c2::faites}}, ils {{c2::font}}",très irrégulier
aller,идти; ехать,Présent,"je {{c1::vais}}, tu {{c1::vas}}, il {{c1::va}}","nous {{c2::allons}}, vous {{c2::allez}}, ils {{c2::vont}}",3e groupe (-er exception)
dire,говорить; сказать,Présent,"je {{c1::dis}}, tu {{c1::dis}}, il {{c1::dit}}","nous {{c2::disons}}, vous {{c2::dites}}, ils {{c2::disent}}",attention: vous dites
pouvoir,мочь,Présent,"je {{c1::peux}}, tu {{c1::peux}}, il {{c1::peut}}","nous {{c2::pouvons}}, vous {{c2::pouvez}}, ils {{c2::peuvent}}",pas d'impératif
vouloir,хотеть,Présent,"je {{c1::veux}}, tu {{c1::veux}}, il {{c1::veut}}","nous {{c2::voulons}}, vous {{c2::voulez}}, ils {{c2::veulent}}",
savoir,знать; уметь,Présent,"je {{c1::sais}}, tu {{c1::sais}}, il {{c1::sait}}","nous {{c2::savons}}, vous {{c2::savez}}, ils {{c2::savent}}",savoir vs connaître
voir,видеть,Présent,"je {{c1::vois}}, tu {{c1::vois}}, il {{c1::voit}}","nous {{c2::voyons}}, vous {{c2::voyez}}, ils {{c2::voient}}",
devoir,должен; быть должным,Présent,"je {{c1::dois}}, tu {{c1::dois}}, il {{c1::doit}}","nous {{c2::devons}}, vous {{c2::devez}}, ils {{c2::doivent}}",
