French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
un abatis,вырубка (частично раскорчёванный участок),m,Il a défriché <b>un abatis</b> pour agrandir sa terre.,"Он расчистил <b>вырубку</b>, чтобы увеличить свой участок.",Région forestière. De l'ancien français abattre.,🪓,quebecismes
un aboiteau,дамба (для осушения прибрежных земель),m,Les Acadiens ont construit des <b>aboiteaux</b> pour cultiver les marais.,Акадийцы строили <b>дамбы</b> для возделывания болот.,Terme acadien. Technique agricole traditionnelle.,🌊,quebecismes
abrier,укрывать (ребёнка),v,"Viens <b>abrier</b> le petit, il fait froid ce soir.","Иди <b>укрой</b> малыша, сегодня холодно.",Familier. France: couvrir. Groupe 1 (-er).,🛏️,quebecismes
achalant; achalante,надоедливый; назойливый,adj,Mon voisin est vraiment <b>achalant</b> avec sa musique forte.,Мой сосед реально <b>надоедливый</b> со своей громкой музыкой.,Très courant au Québec. France: ennuyeux.,😤,quebecismes
achaler,надоедать; докучать,v,Arrête de m'<b>achaler</b> avec tes questions !,Хватит меня <b>доставать</b> своими вопросами!,Très courant. France: ennuyer. Groupe 1 (-er).,🙄,quebecismes
acéricole,относящийся к производству кленового сиропа,adj,Le Québec est le leader mondial de l'industrie <b>acéricole</b>.,Квебек — мировой лидер в <b>кленовой</b> индустрии.,De érable (acer en latin). Industrie importante au Québec.,🍁,quebecismes
un acétaminophène,парацетамол,m,Prends un <b>acétaminophène</b> pour ta fièvre.,Прими <b>парацетамол</b> от температуры.,France: paracétamol. Nom commercial: Tylenol.,💊,quebecismes
un adon,совпадение; случайность,m,C'est tout un <b>adon</b> qu'on se retrouve ici !,"Какое <b>совпадение</b>, что мы встретились здесь!",Familier. Synonyme: hasard. Très québécois.,🎲,quebecismes
un affiant; une affiante,лицо дающее показания под присягой,m,L'<b>affiant</b> a signé sa déclaration devant le notaire.,<b>Заявитель</b> подписал декларацию у нотариуса.,Terme juridique. France: déclarant sous serment.,⚖️,quebecismes
une aidance,помощь зависимому человеку,f,L'<b>aidance</b> aux personnes âgées est un enjeu social majeur.,<b>Помощь</b> пожилым людям — важная социальная задача.,Néologisme québécois. Concept de proche aidant.,🤝,quebecismes
une aluminerie,алюминиевый завод,f,Il travaille à l'<b>aluminerie</b> de Jonquière depuis vingt ans.,Он работает на <b>алюминиевом заводе</b> в Жонкьере уже двадцать лет.,Industrie importante au Saguenay. France: usine d'aluminium.,🏭,quebecismes
amancher,обманывать; надувать,v,Il s'est fait <b>amancher</b> par un vendeur malhonnête.,Его <b>надули</b> нечестный продавец.,Familier. France: arnaquer. Groupe 1 (-er).,🎭,quebecismes
un anovulant,противозачаточное средство,m,Elle prend un <b>anovulant</b> depuis plusieurs années.,Она принимает <b>противозачаточные</b> уже несколько лет.,Terme médical québécois. France: contraceptif oral.,💊,quebecismes
aplomber,выравнивать,v,Il faut <b>aplomber</b> cette étagère avant de la fixer.,Нужно <b>выровнять</b> эту полку перед креплением.,D'aplomb. France: mettre d'aplomb. Groupe 1 (-er).,📐,quebecismes
un aréna,крытый каток,m,Les enfants jouent au hockey à l'<b>aréna</b> du quartier.,Дети играют в хоккей на <b>катке</b> в районе.,Très courant. France: patinoire couverte. Masculin au Québec!,⛸️,quebecismes
un ataca,клюква,m,On fait de la confiture avec des <b>atacas</b> du jardin.,Мы делаем варенье из <b>клюквы</b> с огорода.,Aussi: atoca. D'origine amérindienne. France: canneberge.,🔴,quebecismes
attoquer,прислонять (акадийск.),v,<b>Attoque</b> l'échelle contre le mur.,<b>Прислони</b> лестницу к стене.,Acadien. Familier. Groupe 1 (-er).,🪜,quebecismes
