French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une aviation,авиация,L'<b>aviation</b> civile.,Гражданская <b>авиация</b>.,✈️,f
une migraine,мигрень,Avoir une <b>migraine</b>.,Иметь <b>мигрень</b>.,🤕,f
une colle,клей,Un tube de <b>colle</b>.,Тюбик <b>клея</b>.,🧴,f
miser,ставить (деньги),<b>Miser</b> sur le rouge.,<b>Поставить</b> на красное.,🎰,v
un tatouage,татуировка,Un <b>tatouage</b> sur le bras.,<b>Татуировка</b> на руке.,💉,m
un peloton,взвод,Un <b>peloton</b> d'exécution.,Расстрельный <b>взвод</b>.,🪖,m
une lanterne,фонарь,La lumière de la <b>lanterne</b>.,Свет <b>фонаря</b>.,🏮,f
une trêve,перемирие,Une <b>trêve</b> de Noël.,Рождественское <b>перемирие</b>.,🕊️,f
une permanence,дежурство,Être de <b>permanence</b>.,Быть на <b>дежурстве</b>.,📞,f
complexe,сложный,Un problème <b>complexe</b>.,<b>Сложная</b> проблема.,🧩,adj
un gibier,дичь,Chasser le <b>gibier</b>.,Охотиться на <b>дичь</b>.,🦌,m
un mignon,миляга; любимчик,C'est mon <b>mignon</b>.,Это мой <b>милый</b>.,🥰,m
flairer,чуять,Le chien <b>flaire</b> la piste.,Собака <b>чует</b> след.,🐕,v
tracasser,беспокоить,Ça me <b>tracasse</b>.,Это меня <b>беспокоит</b>.,😟,v
"rassurant, rassurante",успокаивающий,Un ton <b>rassurant</b>.,<b>Успокаивающий</b> тон.,😌,adj
épanouir,расцветать,S'<b>épanouir</b> au travail.,<b>Расцветать</b> на работе.,🌸,v
un apprenti,ученик,Un <b>apprenti</b> boulanger.,<b>Ученик</b> пекаря.,👨‍🍳,m
un pourboire,чаевые,Laisser un <b>pourboire</b>.,Оставить <b>чаевые</b>.,💵,m
une moquette,ковролин,Une <b>moquette</b> épaisse.,Толстый <b>ковролин</b>.,🧶,f
masser,массировать,<b>Masser</b> les épaules.,<b>Массировать</b> плечи.,💆,v
un artifice,фейерверк,Un feu d'<b>artifice</b>.,<b>Фейерверк</b>.,🎆,m
tabasser,избивать (разг.),Se faire <b>tabasser</b>.,Быть <b>избитым</b>.,👊,v
grotesque,гротескный,Une situation <b>grotesque</b>.,<b>Гротескная</b> ситуация.,🎭,adj
une élite,элита,L'<b>élite</b> de la société.,<b>Элита</b> общества.,🏆,f
une négociation,переговоры,Des <b>négociations</b> de paix.,Мирные <b>переговоры</b>.,🤝,f
un horaire,расписание,L'<b>horaire</b> des trains.,<b>Расписание</b> поездов.,🚂,m
bâiller,зевать,<b>Bâiller</b> de fatigue.,<b>Зевать</b> от усталости.,🥱,v
un court,корт,Le <b>court</b> de tennis.,Теннисный <b>корт</b>.,🎾,m
advenir,случаться,Quoi qu'il <b>advienne</b>.,Что бы ни <b>случилось</b>.,🔮,v
un mégot,окурок,Un <b>mégot</b> de cigarette.,<b>Окурок</b> сигареты.,🚬,m
une sensibilité,чувствительность,Une grande <b>sensibilité</b>.,Большая <b>чувствительность</b>.,❤️,f
perturber,нарушать,<b>Perturber</b> l'ordre.,<b>Нарушить</b> порядок.,😵,v
suer,потеть,<b>Suer</b> à grosses gouttes.,<b>Потеть</b> крупными каплями.,💦,v
"couvert, couverte",покрытый,<b>Couvert</b> de neige.,<b>Покрытый</b> снегом.,❄️,adj
un débris,обломок,Des <b>débris</b> de verre.,<b>Осколки</b> стекла.,🔨,m
un cendrier,пепельница,Vider le <b>cendrier</b>.,Опорожнить <b>пепельницу</b>.,🚬,m
un toucher,прикосновение,Un <b>toucher</b> délicat.,Нежное <b>прикосновение</b>.,✋,m
morne,мрачный,Un jour <b>morne</b>.,<b>Мрачный</b> день.,☁️,adj
incarner,воплощать,<b>Incarner</b> un personnage.,<b>Воплотить</b> персонажа.,🎭,v
un écureuil,белка,Un <b>écureuil</b> roux.,Рыжая <b>белка</b>.,🐿️,m
"tu, tue",убитый (только ж.р.),Une personne <b>tuée</b>.,<b>Убитый</b> человек.,💀,adj
un ballet,балет,Un <b>ballet</b> classique.,Классический <b>балет</b>.,🩰,m
un pressentiment,предчувствие,Un mauvais <b>pressentiment</b>.,Плохое <b>предчувствие</b>.,😰,m
"avancé, avancée",продвинутый,Un niveau <b>avancé</b>.,<b>Продвинутый</b> уровень.,📈,adj
un jardinier,садовник,Le <b>jardinier</b> taille les roses.,<b>Садовник</b> подрезает розы.,👨‍🌾,m
un cierge,свеча церковная,Allumer un <b>cierge</b>.,Зажечь <b>свечу</b>.,🕯️,m
une jardinière,садовница,Elle est <b>jardinière</b>.,Она <b>садовница</b>.,👩‍🌾,f
un relief,рельеф,Le <b>relief</b> du terrain.,<b>Рельеф</b> местности.,🏔️,m
flamber,пылать,Le feu <b>flambe</b>.,Огонь <b>пылает</b>.,🔥,v
une rentrée,начало учебного года,La <b>rentrée</b> scolaire.,Начало <b>учебного года</b>.,🎒,f
damer,утрамбовывать; побить,<b>Damer</b> le pion à quelqu'un.,<b>Обставить</b> кого-то.,🏁,v
un fût,бочка; ствол,Un <b>fût</b> de vin.,<b>Бочка</b> вина.,🛢️,m
une résolution,решимость,Prendre une <b>résolution</b>.,Принять <b>решение</b>.,💪,f
flinguer,пристрелить (разг.),<b>Flinguer</b> quelqu'un.,<b>Пристрелить</b> кого-то.,🔫,v
une épine,колючка,Une <b>épine</b> de rose.,<b>Шип</b> розы.,🌹,f
un nichon,сиська (груб.),De gros <b>nichons</b>. (vulgaire),Большие <b>сиськи</b>. (груб.),🤬,m
un palmier,пальма,Un <b>palmier</b> tropical.,Тропическая <b>пальма</b>.,🌴,m
une hostilité,враждебность,Avec <b>hostilité</b>.,С <b>враждебностью</b>.,😠,f
une inspection,инспекция,Une <b>inspection</b> de routine.,Плановая <b>проверка</b>.,🔍,f
"roulant, roulante",катящийся,Un fauteuil <b>roulant</b>.,Инвалидная <b>коляска</b>.,♿,adj
"subit, subite",внезапный,Un changement <b>subit</b>.,<b>Внезапное</b> изменение.,⚡,adj
un organisme,организм,L'<b>organisme</b> humain.,Человеческий <b>организм</b>.,🫀,m
une cape,плащ,Une <b>cape</b> de super-héros.,<b>Плащ</b> супергероя.,🦸,f
gravir,взбираться,<b>Gravir</b> une montagne.,<b>Взбираться</b> на гору.,🧗,v
un marais,болото,Un <b>marais</b> profond.,Глубокое <b>болото</b>.,🐊,m
un g,буква Г,Le <b>g</b> se prononce différemment.,<b>Г</b> произносится по-разному.,🔤,m
un boxeur,боксёр,Un <b>boxeur</b> professionnel.,Профессиональный <b>боксёр</b>.,🥊,m
un team,команда (англ.),Notre <b>team</b> est la meilleure.,Наша <b>команда</b> лучшая.,👥,m
un peigne,расчёска,Passer le <b>peigne</b>.,Провести <b>расчёской</b>.,💇,m
un retrait,отступление; снятие,Un <b>retrait</b> d'argent.,<b>Снятие</b> денег.,💰,m
un sifflement,свист,Un <b>sifflement</b> strident.,Пронзительный <b>свист</b>.,🎵,m
une vigueur,сила,Avec <b>vigueur</b>.,С <b>силой</b>.,💪,f
un lustre,люстра,Un grand <b>lustre</b>.,Большая <b>люстра</b>.,💡,m
entrouvrir,приоткрывать,<b>Entrouvrir</b> la porte.,<b>Приоткрыть</b> дверь.,🚪,v
"passionné, passionnée",страстный,Un débat <b>passionné</b>.,<b>Страстная</b> дискуссия.,🔥,adj
un recul,отступление,Prendre du <b>recul</b>.,<b>Отойти</b> назад.,↩️,m
un vestiaire,раздевалка,Le <b>vestiaire</b> du gymnase.,<b>Раздевалка</b> спортзала.,🚿,m
une humidité,влажность,Une forte <b>humidité</b>.,Высокая <b>влажность</b>.,💧,f
une transmission,передача,La <b>transmission</b> de données.,<b>Передача</b> данных.,📡,f
"sportif, sportive",спортивный,Un événement <b>sportif</b>.,<b>Спортивное</b> мероприятие.,🏅,adj
une planque,укрытие (разг.),Une bonne <b>planque</b>.,Хорошее <b>укрытие</b>.,🙈,f
un ver,червь,Un <b>ver</b> de terre.,Земляной <b>червь</b>.,🪱,m
dessécher,иссушать,Le soleil <b>dessèche</b> la terre.,Солнце <b>иссушает</b> землю.,☀️,v
médiocre,посредственный,Un résultat <b>médiocre</b>.,<b>Посредственный</b> результат.,😐,adj
persister,упорствовать,<b>Persister</b> dans l'erreur.,<b>Упорствовать</b> в ошибке.,🙄,v
une impasse,тупик,Une <b>impasse</b> politique.,Политический <b>тупик</b>.,🛑,f
qualifier,квалифицировать,Se <b>qualifier</b> pour la finale.,<b>Квалифицироваться</b> в финал.,🏆,v
"touchant, touchante",трогательный,Une histoire <b>touchante</b>.,<b>Трогательная</b> история.,🥲,adj
un orphelin,сирота,Il est <b>orphelin</b>.,Он <b>сирота</b>.,😢,m
avérer,оказываться,S'<b>avérer</b> vrai.,<b>Оказаться</b> правдой.,✅,v
"sournois, sournoise",коварный,Un regard <b>sournois</b>.,<b>Коварный</b> взгляд.,😏,adj
une coquille,ракушка,Une <b>coquille</b> d'huître.,<b>Раковина</b> устрицы.,🐚,f
une pauvreté,бедность,Vivre dans la <b>pauvreté</b>.,Жить в <b>бедности</b>.,😔,f
une finance,финансы,Le monde de la <b>finance</b>.,Мир <b>финансов</b>.,💹,f
"usé, usée",изношенный,Des vêtements <b>usés</b>.,<b>Изношенная</b> одежда.,👕,adj
formuler,формулировать,<b>Formuler</b> une demande.,<b>Сформулировать</b> просьбу.,📝,v
une hôtesse,хозяйка; стюардесса,Une <b>hôtesse</b> de l'air.,<b>Стюардесса</b>.,✈️,f
une structure,структура,La <b>structure</b> du bâtiment.,<b>Структура</b> здания.,🏗️,f
dédier,посвящать,<b>Dédier</b> un livre à quelqu'un.,<b>Посвятить</b> книгу кому-то.,📖,v
un vacarme,шум,Quel <b>vacarme</b> !,Какой <b>шум</b>!,📢,m
déplier,разворачивать,<b>Déplier</b> la carte.,<b>Развернуть</b> карту.,🗺️,v
un poteau,столб,Un <b>poteau</b> électrique.,Электрический <b>столб</b>.,⚡,m
une girl,девушка (англ.),Les <b>girls</b> du cabaret.,<b>Девушки</b> из кабаре.,💃,f
une tôle,жесть,Une <b>tôle</b> ondulée.,Гофрированная <b>жесть</b>.,🔩,f
une générosité,щедрость,Une grande <b>générosité</b>.,Большая <b>щедрость</b>.,🎁,f
un leader,лидер,Le <b>leader</b> du groupe.,<b>Лидер</b> группы.,👑,m
un prestige,престиж,Le <b>prestige</b> de la marque.,<b>Престиж</b> бренда.,✨,m
une mécanique,механика,La <b>mécanique</b> auto.,Авто<b>механика</b>.,🔧,f
une pâtisserie,кондитерская,Une <b>pâtisserie</b> française.,Французская <b>кондитерская</b>.,🧁,f
"policier, policière",полицейский (прил.),Un roman <b>policier</b>.,<b>Детективный</b> роман.,🕵️,adj
secondaire,второстепенный,Un rôle <b>secondaire</b>.,<b>Второстепенная</b> роль.,2️⃣,adj
comique,комичный,Une situation <b>comique</b>.,<b>Комичная</b> ситуация.,😂,adj
instruire,обучать,<b>Instruire</b> les enfants.,<b>Обучать</b> детей.,📚,v
un fourgon,фургон,Un <b>fourgon</b> de police.,Полицейский <b>фургон</b>.,🚐,m
un pétard,петарда,Allumer un <b>pétard</b>.,Зажечь <b>петарду</b>.,🧨,m
"primitif, primitive",примитивный,Un art <b>primitif</b>.,<b>Примитивное</b> искусство.,🎨,adj
"cérébral, cérébrale",мозговой,Une activité <b>cérébrale</b>.,<b>Мозговая</b> активность.,🧠,adj
"chiant, chiante",надоедливый (разг.),C'est <b>chiant</b>.,Это <b>достало</b>.,😤,adj
une mouette,чайка,Une <b>mouette</b> blanche.,Белая <b>чайка</b>.,🦅,f
une pyramide,пирамида,La <b>pyramide</b> de Khéops.,<b>Пирамида</b> Хеопса.,🔺,f
un lézard,ящерица,Un <b>lézard</b> au soleil.,<b>Ящерица</b> на солнце.,🦎,m
une berge,берег реки,La <b>berge</b> de la Seine.,<b>Берег</b> Сены.,🏞️,f
une sûreté,безопасность,La <b>sûreté</b> nationale.,Национальная <b>безопасность</b>.,🔒,f
savourer,смаковать,<b>Savourer</b> un bon repas.,<b>Смаковать</b> хороший обед.,😋,v
un coucher,закат,Le <b>coucher</b> du soleil.,<b>Закат</b> солнца.,🌅,m
un gagnant,победитель,Le <b>gagnant</b> du concours.,<b>Победитель</b> конкурса.,🏆,m
un dealer,дилер,Un <b>dealer</b> de drogue.,Наркодилер.,💊,m
une mallette,портфель,Une <b>mallette</b> de médecin.,<b>Чемоданчик</b> врача.,💼,f
un talus,откос,Un <b>talus</b> herbeux.,Травянистый <b>откос</b>.,🏔️,m
"oriental, orientale",восточный,La cuisine <b>orientale</b>.,<b>Восточная</b> кухня.,🍜,adj
un local,помещение,Un <b>local</b> commercial.,Коммерческое <b>помещение</b>.,🏢,m
"éventuel, éventuelle",возможный,Un problème <b>éventuel</b>.,<b>Возможная</b> проблема.,❓,adj
copier,копировать,<b>Copier</b> un document.,<b>Скопировать</b> документ.,📋,v
une communion,причастие,La première <b>communion</b>.,Первое <b>причастие</b>.,⛪,f
une option,опция,Une <b>option</b> supplémentaire.,Дополнительная <b>опция</b>.,☑️,f
une condoléance,соболезнование,Présenter ses <b>condoléances</b>.,Выразить <b>соболезнования</b>.,🕯️,f
une étreinte,объятие,Une <b>étreinte</b> chaleureuse.,Тёплое <b>объятие</b>.,🤗,f
une clairière,поляна,Une <b>clairière</b> ensoleillée.,Солнечная <b>поляна</b>.,🌳,f
une traversée,переход,La <b>traversée</b> de l'Atlantique.,<b>Переход</b> через Атлантику.,🚢,f
un scotch,скотч; виски,Un verre de <b>scotch</b>.,Стакан <b>виски</b>.,🥃,m
un savant,учёный,Un grand <b>savant</b>.,Великий <b>учёный</b>.,👨‍🔬,m
une thérapie,терапия,Une <b>thérapie</b> de groupe.,Групповая <b>терапия</b>.,🧠,f
