French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
avoir un coup de foudre,любовь с первого взгляда,expr,"Lorsqu'ils se sont rencontrés, ce fut un véritable <b>coup de foudre</b>.","Когда они встретились, это была настоящая <b>любовь с первого взгляда</b>.","Дословно: удар молнии. Также: внезапное увлечение чем-то.",⚡💕
poser un lapin à qqn,не прийти на встречу,expr,"Il m'a <b>posé un lapin</b> hier soir, je l'ai attendu une heure !","Он <b>не пришёл на встречу</b> вчера вечером, я ждал его час!","Familier. Дословно: подложить кролика.",🐰❌
avoir le cafard,быть в депрессии; хандрить,expr,"Depuis son départ pour le Québec, elle <b>a le cafard</b>.","С тех пор как он уехал в Квебек, она <b>хандрит</b>.","Дословно: иметь таракана. Синоним: être déprimé.",🪳😢
faire la grasse matinée,поспать допоздна,expr,"Ce dimanche, je vais <b>faire la grasse matinée</b> jusqu'à midi.","В это воскресенье я <b>посплю допоздна</b> до полудня.","Дословно: делать жирное утро. Québec: aussi dormir tard.",😴🛏️
passer une nuit blanche,не спать всю ночь,expr,"J'ai <b>passé une nuit blanche</b> à préparer mon examen de français.","Я <b>не спал всю ночь</b>, готовясь к экзамену по французскому.","Дословно: провести белую ночь.",🌙👀
mettre son grain de sel,лезть с непрошеным мнением,expr,"Il faut toujours qu'il <b>mette son grain de sel</b> dans les discussions !","Он всегда должен <b>лезть со своим мнением</b> в обсуждения!","Дословно: класть свою крупинку соли. Familier.",🧂💬
tirer le diable par la queue,"еле сводить концы с концами; перебиваться",expr,"Depuis qu'il a perdu son travail, ils <b>tirent le diable par la queue</b>.","С тех пор как он потерял работу, они <b>еле сводят концы с концами</b>.","Дословно: тянуть дьявола за хвост.",😈💸
se mettre sur son 31,нарядиться; принарядиться,expr,"Pour le réveillon, tout le monde <b>s'est mis sur son 31</b>.","На Новый год все <b>принарядились</b>.","Дословно: одеться на свои 31. Origine: 31 décembre ou trentain (tissu de luxe).",👔✨
jeter de l'huile sur le feu,подливать масла в огонь,expr,"En critiquant son travail devant tous, tu n'as fait que <b>jeter de l'huile sur le feu</b>.","Критикуя его работу перед всеми, ты только <b>подлил масла в огонь</b>.","Аналог русского выражения.",🛢️🔥
couper la poire en deux,найти компромисс; пойти на уступки,expr,"Ils ont décidé de <b>couper la poire en deux</b> et de partager les frais.","Они решили <b>найти компромисс</b> и разделить расходы.","Дословно: разрезать грушу пополам.",🍐✂️
appeler un chat un chat,называть вещи своими именами,expr,"Je vais <b>appeler un chat un chat</b> : ce projet est un échec.","Буду <b>называть вещи своими именами</b>: этот проект — провал.","Дословно: называть кота котом. Синоним: parler franchement.",🐱📢
mettre la main à la pâte,взяться за дело; помочь,expr,"Si tout le monde <b>met la main à la pâte</b>, on finira avant ce soir.","Если все <b>возьмутся за дело</b>, мы закончим до вечера.","Дословно: положить руку в тесто.",🤲🥖
manger sur le pouce,перекусить на ходу,expr,"Je n'ai pas le temps, je vais <b>manger sur le pouce</b> entre deux réunions.","У меня нет времени, я <b>перекушу на ходу</b> между встречами.","Дословно: есть на большом пальце.",🍔⏱️
en faire tout un fromage,делать из мухи слона,expr,"Ce n'est qu'une petite erreur, il ne faut pas <b>en faire tout un fromage</b> !","Это всего лишь небольшая ошибка, не надо <b>делать из мухи слона</b>!","Дословно: делать из этого целый сыр.",🧀🐘
avoir la gueule de bois,страдать похмельем,expr,"Après la fête, j'<b>ai la gueule de bois</b> ce matin.","После вечеринки у меня <b>похмелье</b> этим утром.","Familier. Дословно: иметь деревянную морду.",🍺🤕
pleuvoir des cordes,лить как из ведра,expr,"Il <b>pleut des cordes</b> dehors, prends ton parapluie !","На улице <b>льёт как из ведра</b>, возьми зонт!","Дословно: идёт дождь из верёвок. Синоним: pleuvoir à verse.",🌧️
donner sa langue au chat,сдаться (при угадывании),expr,"Je ne trouve pas la réponse, je <b>donne ma langue au chat</b>.","Я не нахожу ответ, <b>сдаюсь</b>.","Дословно: отдать свой язык коту.",🐱👅
se serrer la ceinture,затянуть пояса; экономить,expr,"Avec la crise, il a dû <b>se serrer la ceinture</b>.","Из-за кризиса ему пришлось <b>затянуть пояса</b>.","Аналог русского выражения.",💵🔄
être au bout du rouleau,быть измотанным; на пределе сил,expr,"Après ce projet de trois mois, je suis vraiment <b>au bout du rouleau</b>.","После этого трёхмесячного проекта я реально <b>на пределе сил</b>.","Дословно: быть в конце рулона.",😩🪫
faire l'autruche,прятать голову в песок; игнорировать проблему,expr,"Il ne peut pas continuer à <b>faire l'autruche</b> face à ses dettes.","Он не может продолжать <b>прятать голову в песок</b> перед своими долгами.","Дословно: делать страуса.",🪶🙈
avoir les dents longues,быть амбициозным,expr,"Ce nouveau directeur <b>a les dents longues</b>, il vise le poste de PDG.","Этот новый директор <b>очень амбициозен</b>, он метит на пост генерального.","Дословно: иметь длинные зубы. Parfois péjoratif.",🦷📈
tourner autour du pot,ходить вокруг да около,expr,"Arrête de <b>tourner autour du pot</b> et dis-moi ce qui s'est passé !","Хватит <b>ходить вокруг да около</b>, скажи мне, что случилось!","Дословно: крутиться вокруг горшка.",🍯🔄
prendre le taureau par les cornes,взять быка за рога,expr,"Face à ce problème, il a <b>pris le taureau par les cornes</b>.","Столкнувшись с этой проблемой, он <b>взял быка за рога</b>.","Аналог русского выражения.",🐂💪
avoir du pain sur la planche,иметь много работы,expr,"Avec ce nouveau projet, nous avons <b>du pain sur la planche</b>.","С этим новым проектом у нас <b>много работы</b>.","Дословно: иметь хлеб на доске.",🍞📋
faire d'une pierre deux coups,убить двух зайцев одним выстрелом,expr,"En allant au bureau, je dépose les enfants à l'école : je <b>fais d'une pierre deux coups</b>.","По дороге на работу завожу детей в школу: <b>убиваю двух зайцев</b>.","Дословно: сделать одним камнем два удара.",🪨🎯
tomber dans les pommes,упасть в обморок,expr,"Il faisait si chaud qu'elle est <b>tombée dans les pommes</b>.","Было так жарко, что она <b>упала в обморок</b>.","Дословно: упасть в яблоки. Familier.",🍎😵
avoir une faim de loup,быть голодным как волк,expr,"Après cette randonnée, j'<b>ai une faim de loup</b> !","После этого похода я <b>голоден как волк</b>!","Аналог русского выражения.",🐺🍽️
avoir le cœur sur la main,быть щедрым и добрым,expr,"Elle <b>a le cœur sur la main</b>, elle aide toujours les autres.","Она <b>очень щедрая</b>, всегда помогает другим.","Дословно: иметь сердце на руке.",❤️🤲
jeter l'éponge,сдаться; бросить дело,expr,"Après trois tentatives, il a décidé de <b>jeter l'éponge</b>.","После трёх попыток он решил <b>сдаться</b>.","Origine: boxe. Дословно: бросить губку.",🧽🏳️
marcher sur des œufs,действовать осторожно,expr,"Avec ce client difficile, il faut <b>marcher sur des œufs</b>.","С этим сложным клиентом нужно <b>действовать осторожно</b>.","Дословно: ходить по яйцам.",🥚🚶
raconter des salades,врать; рассказывать небылицы,expr,"Ne le crois pas, il <b>raconte des salades</b> !","Не верь ему, он <b>врёт</b>!","Дословно: рассказывать салаты. Familier. Синоним: mentir.",🥗🤥
avoir un poil dans la main,быть лентяем,expr,"Il ne fait jamais rien, il <b>a un poil dans la main</b>.","Он никогда ничего не делает, он <b>настоящий лентяй</b>.","Дословно: иметь волос в руке. Familier.",💇🖐️
rouler quelqu'un dans la farine,обмануть кого-то; обвести вокруг пальца,expr,"Ce vendeur m'a <b>roulé dans la farine</b>, la voiture était en panne !","Этот продавец меня <b>обманул</b>, машина была сломана!","Дословно: обвалять в муке. Familier.",🌾😈
mettre les pieds dans le plat,сесть в лужу; ляпнуть,expr,"Il a <b>mis les pieds dans le plat</b> en parlant de son ex devant sa femme.","Он <b>ляпнул</b>, заговорив о бывшей при жене.","Дословно: поставить ноги в блюдо.",🦶🍽️
passer du coq à l'âne,перескакивать с темы на тему,expr,"Impossible de le suivre, il <b>passe du coq à l'âne</b> constamment !","Невозможно за ним угнаться, он постоянно <b>перескакивает с темы на тему</b>!","Дословно: переходить от петуха к ослу.",🐓🫏
mettre de l'eau dans son vin,смягчить позицию; пойти на уступки,expr,"Après la négociation, il a dû <b>mettre de l'eau dans son vin</b>.","После переговоров ему пришлось <b>смягчить позицию</b>.","Дословно: добавить воды в вино.",💧🍷
tenir la chandelle,быть третьим лишним,expr,"Je ne veux pas <b>tenir la chandelle</b>, sortez sans moi !","Не хочу <b>быть третьим лишним</b>, идите без меня!","Дословно: держать свечу.",🕯️👫
se prendre un râteau,получить отказ (в любви),expr,"Il a invité Marie à sortir, mais il <b>s'est pris un râteau</b>.","Он пригласил Мари на свидание, но <b>получил отказ</b>.","Familier. Дословно: получить граблями.",🌹❌
être à cheval sur quelque chose,быть принципиальным; строгим,expr,"Mon prof <b>est à cheval sur</b> la ponctualité.","Мой препод <b>строг в отношении</b> пунктуальности.","Дословно: быть верхом на чём-то.",🐴⚖️
tiré par les cheveux,притянуто за уши; натянуто,expr,"Son excuse était vraiment <b>tirée par les cheveux</b>.","Его оправдание было <b>притянуто за уши</b>.","Аналог русского выражения.",💇🤷
avoir l'estomac dans les talons,очень хотеть есть,expr,"Après 8 heures sans manger, j'<b>ai l'estomac dans les talons</b>.","После 8 часов без еды я <b>ужасно хочу есть</b>.","Дословно: иметь желудок в пятках.",👠🤤
avoir un cœur d'artichaut,легко влюбляться,expr,"Elle tombe amoureuse de tout le monde, elle <b>a un cœur d'artichaut</b>.","Она влюбляется во всех подряд, у неё <b>ветреное сердце</b>.","Дословно: иметь сердце артишока (много листьев = много увлечений).",💜🥬
tirer les vers du nez,выпытывать информацию,expr,"Il a fallu que je lui <b>tire les vers du nez</b> pour savoir ce qui s'est passé.","Мне пришлось <b>вытягивать из него</b> информацию, чтобы узнать, что случилось.","Дословно: тянуть червей из носа.",🪱👃
mettre les points sur les i,расставить точки над i,expr,"Il a tenu à <b>mettre les points sur les i</b> avant de signer le contrat.","Он настоял на том, чтобы <b>расставить точки над i</b> перед подписанием контракта.","Аналог русского выражения.",✏️📝
monter sur ses grands chevaux,разозлиться; вспылить,expr,"Dès qu'on le critique, il <b>monte sur ses grands chevaux</b>.","Стоит его покритиковать, он сразу <b>вспыливает</b>.","Дословно: сесть на больших лошадей.",🐎😤
vendre la peau de l'ours avant de l'avoir tué,делить шкуру неубитого медведя,expr,"Ne <b>vends pas la peau de l'ours avant de l'avoir tué</b>, attends les résultats.","Не <b>дели шкуру неубитого медведя</b>, подожди результатов.","Аналог русского выражения.",🐻🛒
mettre son nez partout,совать нос всюду,expr,"Elle <b>met son nez partout</b>, impossible d'avoir de secrets !","Она <b>суёт нос всюду</b>, невозможно иметь секреты!","Аналог русского выражения.",👃🔍
jeter l'argent par les fenêtres,бросать деньги на ветер,expr,"Il <b>jette l'argent par les fenêtres</b> avec ses achats inutiles.","Он <b>бросает деньги на ветер</b> своими бесполезными покупками.","Дословно: выбрасывать деньги в окна.",💸🪟
tirer la couverture à soi,тянуть одеяло на себя,expr,"Dans ce projet, il essaie toujours de <b>tirer la couverture à soi</b>.","В этом проекте он всегда пытается <b>тянуть одеяло на себя</b>.","Аналог русского выражения.",🛏️😤
être dans de beaux draps,быть в переделке; попасть в беду,expr,"Après avoir perdu son passeport, il <b>s'est retrouvé dans de beaux draps</b>.","Потеряв паспорт, он <b>оказался в переделке</b>.","Ирония: beaux draps = проблемы. Дословно: быть в красивых простынях.",🛏️😰
ne pas mettre tous ses œufs dans le même panier,не класть все яйца в одну корзину,expr,"Il <b>ne faut pas mettre tous ses œufs dans le même panier</b> : diversifie tes investissements.","<b>Не клади все яйца в одну корзину</b>: диверсифицируй инвестиции.","Аналог русского выражения.",🥚🧺
prendre quelqu'un la main dans le sac,поймать с поличным,expr,"Nous avons <b>pris le voleur la main dans le sac</b>.","Мы <b>поймали вора с поличным</b>.","Дословно: поймать с рукой в сумке.",🤚👜
courir sur le haricot,раздражать; надоедать,expr,"Arrête de me <b>courir sur le haricot</b> avec tes questions !","Хватит меня <b>доставать</b> своими вопросами!","Familier. Дословно: бегать по фасолине.",🫘😤
casser les pieds à quelqu'un,надоедать; действовать на нервы,expr,"Ça me <b>casse les pieds</b> de devoir refaire ce travail.","Меня <b>бесит</b> необходимость переделывать эту работу.","Familier. Дословно: ломать ноги.",🦶💢
mettre la charrue avant les bœufs,ставить телегу впереди лошади,expr,"En annonçant le succès avant les tests, il a <b>mis la charrue avant les bœufs</b>.","Объявив об успехе до тестов, он <b>поставил телегу впереди лошади</b>.","Дословно: ставить плуг перед быками.",🐂🛒
avoir un chat dans la gorge,иметь ком в горле; охрипнуть,expr,"Excuse-moi, j'<b>ai un chat dans la gorge</b> ce matin.","Извини, у меня <b>горло сипит</b> этим утром.","Дословно: иметь кота в горле.",🐱🗣️
rire jaune,смеяться через силу; натянуто улыбаться,expr,"Quand on lui a annoncé la nouvelle, il a <b>ri jaune</b>.","Когда ему сообщили новость, он <b>натянуто улыбнулся</b>.","Дословно: смеяться жёлтым.",😬💛
faire boule de neige,расти как снежный ком,expr,"Le problème a <b>fait boule de neige</b> et est devenu incontrôlable.","Проблема <b>росла как снежный ком</b> и стала неконтролируемой.","Аналог русского выражения.",⛄📈
se mettre le doigt dans l'œil,сильно ошибаться,expr,"Si tu crois qu'il va t'aider, tu <b>te mets le doigt dans l'œil</b>.","Если думаешь, что он тебе поможет, ты <b>сильно ошибаешься</b>.","Familier. Дословно: совать палец себе в глаз.",👁️👆
avoir un coup de barre,почувствовать резкую усталость,expr,"Vers 15h, j'ai <b>eu un coup de barre</b>, j'avais besoin de café.","Около 15:00 я <b>резко устал</b>, мне нужен был кофе.","Дословно: получить удар палкой.",😴☕
mettre du beurre dans les épinards,улучшить материальное положение,expr,"Ce petit travail me permet de <b>mettre du beurre dans les épinards</b>.","Эта подработка помогает мне <b>улучшить финансовое положение</b>.","Дословно: класть масло в шпинат.",🧈💶
laisser tomber comme une vieille chaussette,бросить как ненужную вещь,expr,"Après 10 ans d'amitié, il m'a <b>laissé tomber comme une vieille chaussette</b>.","После 10 лет дружбы он меня <b>бросил как ненужную вещь</b>.","Familier. Дословно: бросить как старый носок.",🧦👋
arriver comme un cheveu sur la soupe,прийти некстати; не к месту,expr,"Son commentaire est <b>arrivé comme un cheveu sur la soupe</b>.","Его комментарий был <b>совсем некстати</b>.","Дословно: появиться как волос в супе.",💇🍲
coûter les yeux de la tête,стоить бешеных денег,expr,"Cette voiture <b>coûte les yeux de la tête</b> !","Эта машина <b>стоит бешеных денег</b>!","Дословно: стоить глаза с головы.",💰👀
ça marche !,договорились!; идёт!,expr,"On se retrouve à 18h ? — <b>Ça marche</b> !","Встречаемся в 18:00? — <b>Договорились</b>!","Familier. Выражение согласия. Дословно: это работает.",✅👍
couci-couça,так себе; ни то ни сё,expr,"Comment ça va ? — <b>Couci-couça</b>, rien de spécial.","Как дела? — <b>Так себе</b>, ничего особенного.","Familier. Aussi: comme ci comme ça.",😐🤷
sans crier gare,без предупреждения,expr,"Il est parti <b>sans crier gare</b>, sans dire au revoir.","Он ушёл <b>без предупреждения</b>, не попрощавшись.","Gare = устаревшее междометие (берегись!).",⚠️💨
