French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
c'est tiguidou,супер!; отлично!; договорились!,expr,"— On se rejoint à 19h ? — <b>Tiguidou</b> !","— Встретимся в 19:00? — <b>Договорились</b>!","Québec uniquement. Origine possible: écossais tickety-boo.",👍✨
c'est l'fun,это клёво; это здорово,expr,"La fête était vraiment <b>l'fun</b> hier soir !","Вечеринка вчера была <b>очень клёвой</b>!","Québec. De l'anglais fun. France: c'est chouette.",🎉
l'affaire est ketchup,всё в порядке; дело в шляпе,expr,"T'inquiète pas, <b>l'affaire est ketchup</b> !","Не волнуйся, <b>всё в порядке</b>!","Québec uniquement. Origine: slogan publicitaire.",🍅✅
attache ta tuque,держись!; приготовься!,expr,"<b>Attache ta tuque</b>, ça va brasser !","<b>Держись</b>, сейчас будет жарко!","Tuque = bonnet. Québec uniquement.",🧢💨
avoir les yeux dans la graisse de bines,быть сонным; не проснуться толком,expr,"Ce matin, j'<b>ai les yeux dans la graisse de bines</b>.","Этим утром я <b>ещё толком не проснулся</b>.","Bines = haricots. Québec uniquement.",😴👀
cogner des clous,клевать носом; засыпать на ходу,expr,"Il était si fatigué qu'il <b>cognait des clous</b> pendant la réunion.","Он так устал, что <b>клевал носом</b> на совещании.","Québec. Дословно: забивать гвозди.",😪🔨
accrocher ses patins,уйти на пенсию; бросить дело,expr,"Après 30 ans de carrière, il a décidé d'<b>accrocher ses patins</b>.","После 30 лет карьеры он решил <b>уйти на пенсию</b>.","Origine: hockey. Québec. France: raccrocher.",⛸️👋
avoir de la broue dans le toupet,быть по уши в делах; зашиваться,expr,"Avec ce projet, j'<b>ai de la broue dans le toupet</b> !","С этим проектом я <b>по уши в делах</b>!","Broue = mousse de bière. Québec uniquement.",🍺😰
lâche pas la patate,не сдавайся!; держись!,expr,"C'est difficile, mais <b>lâche pas la patate</b> !","Это сложно, но <b>не сдавайся</b>!","Québec. Forme d'encouragement.",🥔💪
avoir les mains pleines de pouces,быть криворуким; неуклюжим,expr,"En bricolage, j'<b>ai les mains pleines de pouces</b>.","В ремонте я <b>совсем криворукий</b>.","Québec. France: avoir deux mains gauches.",👐👎
parler à travers son chapeau,говорить не зная дела; нести чушь,expr,"Il <b>parle à travers son chapeau</b>, il ne connaît rien au sujet.","Он <b>несёт чушь</b>, ничего не знает по теме.","Calque de l'anglais: to talk through one's hat.",🎩💬
chanter la pomme,ухаживать; флиртовать,expr,"Il <b>chante la pomme</b> à toutes les filles du bureau.","Он <b>ухаживает</b> за всеми девушками в офисе.","Québec. Origine: paume → pomme.",🍎💕
être assis sur son steak,бездельничать; сидеть сложа руки,expr,"Arrête d'<b>être assis sur ton steak</b> et aide-moi !","Хватит <b>сидеть сложа руки</b>, помоги мне!","Québec. Familier.",🥩🪑
sacrer son camp,свалить; уйти,expr,"J'en ai assez, je <b>sacre mon camp</b> !","С меня хватит, я <b>сваливаю</b>!","Québec. Familier. France: se barrer, se casser.",🏃💨
avoir un pain au four,быть беременной,expr,"Tu as vu Marie ? Elle <b>a un pain au four</b> !","Ты видел Мари? Она <b>беременна</b>!","Québec. Euphémisme imagé.",🥖👶
tire-toi une bûche,садись; присаживайся,expr,"Bienvenue ! <b>Tire-toi une bûche</b> et installe-toi.","Добро пожаловать! <b>Садись</b> и располагайся.","Origine: colonisation, quand les chaises étaient des billots.",🪵🪑
mange pas tes bobettes,не паникуй; не дёргайся,expr,"<b>Mange pas tes bobettes</b>, on a encore le temps.","<b>Не паникуй</b>, у нас ещё есть время.","Bobettes = sous-vêtements. Québec. Familier.",🩲😌
avoir une crotte sur le cœur,таить обиду; держать зло,expr,"Depuis leur dispute, elle <b>a une crotte sur le cœur</b>.","После их ссоры она <b>затаила обиду</b>.","Québec. France: avoir une dent contre qqn.",💔😤
chiquer la guenille,ворчать; брюзжать,expr,"Arrête de <b>chiquer la guenille</b> et fais quelque chose !","Хватит <b>ворчать</b>, сделай что-нибудь!","Guenille = chiffon. Québec uniquement.",😤👕
boss des bécosses,мелкий начальник; самодур,expr,"Ce <b>boss des bécosses</b> se prend pour le PDG !","Этот <b>мелкий начальник</b> возомнил себя генеральным!","Bécosses = latrines. Péjoratif. Québec.",🚽👔
tomber en amour,влюбиться,expr,"Ils sont <b>tombés en amour</b> au premier regard.","Они <b>влюбились</b> с первого взгляда.","Québec. Calque: to fall in love. France: tomber amoureux.",💕
ça fesse,это круто; это сильно,expr,"Le nouveau film Marvel, <b>ça fesse</b> !","Новый фильм Marvel — <b>это круто</b>!","Québec. Familier.",💥👊
capoter,обалдеть; сойти с ума (от радости),expr,"Quand il a vu son cadeau, il a <b>capoté</b> !","Когда он увидел подарок, он <b>обалдел</b>!","Québec. Aussi: flipper.",🤯🎁
ça torche,это бомба; это огонь,expr,"Ce restaurant, <b>ça torche</b> !","Этот ресторан — <b>просто бомба</b>!","Québec. Familier. Très positif.",🔥✨
se payer la traite,порадовать себя; кутнуть,expr,"Ce soir, on <b>se paye la traite</b> au resto !","Сегодня вечером <b>побалуем себя</b> в ресторане!","Québec. France: se faire plaisir.",🍾🎊
tripper,кайфовать; балдеть,expr,"Je <b>trippe</b> sur ce groupe de musique !","Я <b>балдею</b> от этой музыкальной группы!","Québec. De l'anglais trip.",🎵😍
avoir vu neiger,быть опытным; повидать жизнь,expr,"À 70 ans, il <b>en a vu neiger</b> !","В 70 лет он <b>много чего повидал</b>!","Québec uniquement. Imagé: зим пережил.",❄️👴
j'ai mon voyage,с меня хватит; я в шоке,expr,"Tu as encore oublié ? <b>J'ai mon voyage</b> !","Ты опять забыл? <b>С меня хватит</b>!","Québec. Выражение удивления/раздражения.",😤🧳
c'est correct,всё нормально; ладно,expr,"— Désolé pour le retard. — <b>C'est correct</b>, pas de problème.","— Извини за опоздание. — <b>Всё нормально</b>, без проблем.","Québec. France: c'est bon, pas grave.",👌
mets-en,ещё бы!; конечно!,expr,"— C'était bon le souper ? — <b>Mets-en</b> !","— Ужин был вкусный? — <b>Ещё бы</b>!","Québec. Подтверждение с энтузиазмом.",✅💯
pantoute,совсем нет; вовсе нет,expr,"Tu es fatigué ? — <b>Pantoute</b> !","Ты устал? — <b>Вовсе нет</b>!","Québec. De: pas en tout. France: pas du tout.",🙅
en tout cas,в любом случае; короче,expr,"<b>En tout cas</b>, on se voit demain.","<b>В любом случае</b>, увидимся завтра.","Commun au Québec. Aussi: filler de conversation.",💬
faque,так что; поэтому,expr,"Il pleut, <b>faque</b> on reste à la maison.","Идёт дождь, <b>так что</b> остаёмся дома.","Québec. Contraction de: ça fait que.",➡️
t'sé,знаешь; понимаешь,expr,"C'est compliqué, <b>t'sé</b>...","Это сложно, <b>знаешь</b>...","Québec. Contraction de: tu sais. Filler oral.",💭
tu veux-tu,ты хочешь?; хочешь?,expr,"<b>Tu veux-tu</b> un café ?","<b>Хочешь</b> кофе?","Québec. Redoublement interrogatif typique.",❓
tu m'niaises,ты шутишь?; серьёзно?,expr,"<b>Tu m'niaises</b> ? C'est vraiment toi qui as gagné ?","<b>Ты шутишь</b>? Это правда ты выиграл?","Niaiser = plaisanter, embêter. Québec.",😲
