lemme,suffix,genre_in_lexique,freqlem
affaire,-aire,f,337.65
contraire,-aire,m,87.68
anniversaire,-aire,m,54.86
liste,-iste,f,52.66
piste,-iste,f,47.52
artiste,-iste,NaN,42.82
commissaire,-aire,NaN,40.71
secrétaire,-aire,NaN,36.24
propriétaire,-aire,NaN,35.47
journaliste,-iste,NaN,33.31
paire,-aire,f,26.09
partenaire,-aire,NaN,23.12
maire,-aire,m,22.44
salaire,-aire,m,20.86
touriste,-iste,NaN,18.29
communiste,-iste,NaN,17.1
spécialiste,-iste,NaN,16.8
commentaire,-aire,m,16.69
adversaire,-aire,NaN,16.63
fonctionnaire,-aire,NaN,15.63
militaire,-aire,NaN,15.54
ordinaire,-aire,m,13.18
dentiste,-iste,NaN,11.48
terroriste,-iste,NaN,10.97
locataire,-aire,NaN,10.12
notaire,-aire,m,9.71
exemplaire,-aire,m,9.5
nécessaire,-aire,m,8.7
horaire,-aire,m,8.53
vestiaire,-aire,m,8.4
volontaire,-aire,NaN,7.33
itinéraire,-aire,m,6.7
célibataire,-aire,NaN,6.56
formulaire,-aire,m,6.46
dictionnaire,-aire,m,6.12
vocabulaire,-aire,m,5.98
fleuriste,-iste,NaN,5.85
pensionnaire,-aire,NaN,5.66
intermédiaire,-aire,NaN,5.58
pianiste,-iste,NaN,5.53
solitaire,-aire,NaN,5.5
inventaire,-aire,m,5.41
aire,-aire,f,5.38
légiste,-iste,NaN,5.35
sanctuaire,-aire,m,5.17
fasciste,-iste,NaN,4.99
claire,-aire,f,4.76
calvaire,-aire,m,4.61
annuaire,-aire,m,4.25
millénaire,-aire,m,4.23
antiquaire,-aire,NaN,4.21
séminaire,-aire,m,3.98
vétérinaire,-aire,NaN,3.9
lampadaire,-aire,m,3.84
révolutionnaire,-aire,NaN,3.72
grammaire,-aire,f,3.44
parachutiste,-iste,NaN,3.42
libraire,-aire,NaN,3.4
documentaire,-aire,m,3.31
mousquetaire,-aire,m,3.27
socialiste,-iste,NaN,3.25
cycliste,-iste,NaN,3.24
repaire,-aire,m,3.24
haut-commissaire,-aire,m,3.21
raciste,-iste,NaN,3.2
chaire,-aire,f,3.17
guitariste,-iste,NaN,3.13
anarchiste,-iste,NaN,3.0
colocataire,-aire,NaN,2.96
pompiste,-iste,NaN,2.88
garagiste,-iste,NaN,2.86
alchimiste,-iste,NaN,2.86
violoniste,-iste,NaN,2.81
émissaire,-aire,m,2.71
mercenaire,-aire,NaN,2.64
prolétaire,-aire,NaN,2.59
janissaire,-aire,m,2.57
extraordinaire,-aire,m,2.55
actionnaire,-aire,NaN,2.53
aubergiste,-iste,NaN,2.45
légionnaire,-aire,m,2.44
milliardaire,-aire,NaN,2.39
bibliothécaire,-aire,NaN,2.35
auxiliaire,-aire,NaN,2.26
millionnaire,-aire,NaN,2.26
missionnaire,-aire,NaN,2.24
dignitaire,-aire,NaN,2.12
divisionnaire,-aire,NaN,2.11
frigidaire,-aire,m,2.1
stagiaire,-aire,NaN,2.1
imaginaire,-aire,m,1.97
questionnaire,-aire,m,1.96
sudiste,-iste,NaN,1.96
vulgaire,-aire,m,1.95
corsaire,-aire,NaN,1.9
scénariste,-iste,NaN,1.89
hebdomadaire,-aire,m,1.89
juriste,-iste,NaN,1.89
gréviste,-iste,NaN,1.84
réceptionniste,-iste,NaN,1.8
alpiniste,-iste,NaN,1.77
chimiste,-iste,NaN,1.76
automobiliste,-iste,NaN,1.75
dispensaire,-aire,m,1.73
primaire,-aire,NaN,1.66
idéaliste,-iste,NaN,1.64
gaulliste,-iste,NaN,1.62
séminariste,-iste,NaN,1.61
suicidaire,-aire,NaN,1.61
savoir-faire,-aire,m,1.55
nudiste,-iste,NaN,1.53
nationaliste,-iste,NaN,1.49
titulaire,-aire,NaN,1.46
vicaire,-aire,m,1.45
préliminaire,-aire,m,1.43
annulaire,-aire,m,1.39
machiniste,-iste,NaN,1.37
estuaire,-aire,m,1.35
visionnaire,-aire,m,1.34
parlementaire,-aire,NaN,1.33
destinataire,-aire,NaN,1.32
féministe,-iste,NaN,1.31
universitaire,-aire,NaN,1.31
molaire,-aire,f,1.28
tortionnaire,-aire,NaN,1.27
faussaire,-aire,m,1.27
exhibitionniste,-iste,NaN,1.27
ovaire,-aire,m,1.26
suaire,-aire,m,1.24
protagoniste,-iste,NaN,1.24
rosaire,-aire,m,1.22
évangéliste,-iste,m,1.22
capitaliste,-iste,NaN,1.19
bénéficiaire,-aire,NaN,1.17
dépositaire,-aire,NaN,1.16
jugulaire,-aire,f,1.14
incendiaire,-aire,NaN,1.13
moustiquaire,-aire,f,1.11
motocycliste,-iste,NaN,1.1
bouquiniste,-iste,NaN,1.08
commanditaire,-aire,NaN,1.04
trapéziste,-iste,NaN,1.02
styliste,-iste,NaN,1.02
diamantaire,-aire,NaN,1.01
éventaire,-aire,m,1.01
soliste,-iste,NaN,1.0
