lemme,freqlem,participe_present,ending_type,notes
être,25376.09,étant,-re,auxiliaire
avoir,10714.04,ayant,-ir sans -issant,auxiliaire
faire,7419.68,faisant,-re,"très irrégulier (je fais, je ferai)"
aller,7137.63,allant,-er exception,3e groupe (-er exception)
dire,5500.69,disant,-re,"irrégulier (je dis, vous dites)"
pouvoir,4378.6,pouvant,-ir sans -issant,"-oir (je peux, je pourrai)"
vouloir,3805.64,voulant,-ir sans -issant,"-oir (je veux, je voudrai)"
savoir,3511.46,sachant,-ir sans -issant,"-oir (je sais, je saurai)"
voir,3432.36,voyant,-ir sans -issant,"-oir (je vois, je verrai)"
devoir,2466.81,devant,-ir sans -issant,"-oir (je dois, je devrai)"
venir,2264.1,venant,-ir sans -issant,"-enir (je viens, je viendrai)"
prendre,1734.87,prenant,-re,-endre (je prends)
suivre,1633.97,suivant,-re,-ivre (je suis)
falloir,1492.42,,-ir sans -issant,-oir impersonnel (il faut)
croire,1406.09,croyant,-re,-oire (je crois)
attendre,1093.55,attendant,-re,-endre (j'attends) - régulier
mettre,1036.39,mettant,-re,-ettre (je mets)
partir,861.45,partant,-ir sans -issant,-tir (je pars)
connaître,828.32,connaissant,-re,-aître (je connais)
comprendre,782.03,comprenant,-re,-endre (je comprends)
sortir,781.58,sortant,-ir sans -issant,-tir (je sors)
entendre,724.85,entendant,-re,-endre (j'entends) - régulier
mourir,706.27,mourant,-ir sans -issant,"-ourir (je meurs, je mourrai)"
sentir,608.75,sentant,-ir sans -issant,-tir (je sens)
tenir,599.3,tenant,-ir sans -issant,"-enir (je tiens, je tiendrai)"
revenir,567.39,revenant,-ir sans -issant,-enir (je reviens)
rendre,492.53,rendant,-re,
vivre,490.25,vivant,-re,-ivre (je vis)
perdre,478.59,perdant,-re,
devenir,476.55,devenant,-ir sans -issant,-enir (je deviens)
ouvrir,444.99,ouvrant,-ir sans -issant,-vrir (j'ouvre) - comme -er
plaire,420.25,plaisant,-re,-aire (je plais)
asseoir,351.73,asseyant,-ir sans -issant,
dormir,338.87,dormant,-ir sans -issant,-mir (je dors)
répondre,337.65,répondant,-re,
apprendre,323.76,apprenant,-re,-endre (j'apprends)
écrire,320.28,écrivant,-re,-ire (j'écris)
boire,313.16,buvant,-re,"irrégulier (je bois, nous buvons)"
foutre,309.32,foutant,-re,
servir,300.37,servant,-ir sans -issant,-vir (je sers)
lire,298.57,lisant,-re,-ire (je lis)
souvenir,275.19,souvenant,-ir sans -issant,
descendre,262.23,descendant,-re,
paraître,252.53,paraissant,-re,-aître (je parais)
rire,212.36,riant,-re,
reprendre,212.21,reprenant,-re,
valoir,211.94,valant,-ir sans -issant,"-oir (je vaux, je vaudrai)"
recevoir,205.42,recevant,-ir sans -issant,-cevoir (je reçois)
suffire,203.0,suffisant,-re,
courir,193.25,courant,-ir sans -issant,"-ourir (je cours, je courrai)"
battre,193.15,battant,-re,-attre (je bats)
offrir,192.28,offrant,-ir sans -issant,-frir (j'offre) - comme -er
permettre,177.39,permettant,-re,-ettre (je permets)
reconnaître,176.11,reconnaissant,-re,
disparaître,173.0,disparaissant,-re,
remettre,167.99,remettant,-re,
vendre,161.23,vendant,-re,
conduire,159.65,conduisant,-re,-uire (je conduis)
découvrir,153.79,découvrant,-ir sans -issant,
revoir,153.49,revoyant,-ir sans -issant,
promettre,151.72,promettant,-re,-ettre (je promets)
taire,148.6,taisant,-re,
sourire,137.55,souriant,-re,
mentir,131.91,mentant,-ir sans -issant,-tir (je mens)
naître,117.39,naissant,-re,-aître (je nais)
souffrir,116.0,souffrant,-ir sans -issant,-frir (je souffre) - comme -er
apercevoir,113.98,apercevant,-ir sans -issant,-cevoir (j'aperçois)
craindre,113.79,craignant,-re,-aindre (je crains)
maintenir,112.2,maintenant,-ir sans -issant,-enir (je maintiens)
rejoindre,112.11,rejoignant,-re,
prévenir,107.06,prévenant,-ir sans -issant,
couvrir,106.38,couvrant,-ir sans -issant,-vrir (je couvre) - comme -er
tendre,103.33,tendant,-re,
retenir,100.52,retenant,-ir sans -issant,-enir (je retiens)
détruire,96.59,détruisant,-re,-uire (je détruis)
apparaître,89.97,apparaissant,-re,
atteindre,87.8,atteignant,-re,
appartenir,85.29,appartenant,-ir sans -issant,-enir (j'appartiens)
obtenir,85.23,obtenant,-ir sans -issant,-enir (j'obtiens)
défendre,83.56,défendant,-re,
poursuivre,81.47,poursuivant,-re,
surprendre,80.73,surprenant,-re,
prévoir,77.77,prévoyant,-ir sans -issant,
fuir,76.66,fuyant,-ir sans -issant,
parvenir,76.21,parvenant,-ir sans -issant,
ressentir,75.32,ressentant,-ir sans -issant,
