French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
"Mieux vaut prévenir que guérir.","Лучше предупредить, чем лечить.",expr,"<b>Mieux vaut prévenir que guérir</b> : faites-vous vacciner !","<b>Лучше предупредить, чем лечить</b>: сделайте прививку!","Proverbe. О профилактике и предусмотрительности.",💉🛡️
"Petit à petit l'oiseau fait son nid.",Терпение и труд всё перетрут.,expr,"Ne te décourage pas, <b>petit à petit l'oiseau fait son nid</b>.","Не отчаивайся, <b>терпение и труд всё перетрут</b>.",Proverbe. О терпении и настойчивости.,🐦🪺
"C'est en forgeant qu'on devient forgeron.",Повторение — мать учения.,expr,"Continue à pratiquer, <b>c'est en forgeant qu'on devient forgeron</b>.","Продолжай практиковаться, <b>повторение — мать учения</b>.",Proverbe. О практике и мастерстве. Дословно: куя становятся кузнецом.,🔨⚒️
L'habit ne fait pas le moine.,Внешность обманчива.,expr,"Il a l'air pauvre, mais <b>l'habit ne fait pas le moine</b>.","Он выглядит бедным, но <b>внешность обманчива</b>.",Proverbe. Дословно: одежда не делает монаха. Также: по одёжке встречают.,👔🧑‍⚖️
"Après la pluie, le beau temps.",После дождя будет солнце.,expr,"Ne t'inquiète pas, <b>après la pluie, le beau temps</b>.","Не волнуйся, <b>после дождя будет солнце</b>.",Proverbe. Плохое сменится хорошим.,🌧️☀️
Tout vient à point à qui sait attendre.,Всё приходит к тому кто ждёт.,expr,"Sois patient, <b>tout vient à point à qui sait attendre</b>.","Будь терпелив, <b>всё приходит к тому, кто умеет ждать</b>.",Proverbe. О терпении.,⏳✨
Rome ne s'est pas faite en un jour.,Москва не сразу строилась.,expr,"Ce projet prend du temps, <b>Rome ne s'est pas faite en un jour</b>.","Проект занимает время, <b>Рим не за один день построили</b>.",Proverbe. Великие дела требуют времени.,🏛️📅
Qui veut la fin veut les moyens.,Цель оправдывает средства.,expr,"Pour réussir, il faut travailler : <b>qui veut la fin veut les moyens</b>.","Чтобы добиться успеха, надо работать: <b>цель оправдывает средства</b>.",Proverbe. О готовности использовать все способы.,🎯💪
L'argent ne fait pas le bonheur.,Не в деньгах счастье.,expr,"Il est riche mais malheureux : <b>l'argent ne fait pas le bonheur</b>.","Он богат, но несчастен: <b>не в деньгах счастье</b>.",Proverbe. Деньги — не главное.,💰😊
Les bons comptes font les bons amis.,Счёт дружбы не портит.,expr,"Rembourse-moi ce soir, <b>les bons comptes font les bons amis</b>.","Верни мне сегодня вечером, <b>счёт дружбы не портит</b>.",Proverbe. О честности в денежных делах.,💵🤝
"Aide-toi, le ciel t'aidera.","На Бога надейся, а сам не плошай.",expr,"N'attends pas un miracle, <b>aide-toi, le ciel t'aidera</b>.","Не жди чуда, <b>на Бога надейся, а сам не плошай</b>.",Proverbe. О необходимости действовать самому.,🙏💪
On ne fait pas d'omelette sans casser des œufs.,Лес рубят — щепки летят.,expr,"Il y aura des sacrifices, <b>on ne fait pas d'omelette sans casser des œufs</b>.","Будут жертвы, <b>лес рубят — щепки летят</b>.",Proverbe. О неизбежных издержках.,🥚🍳
"Tout ce qui brille n'est pas or.","Не всё то золото, что блестит.",expr,"Méfie-toi de cette offre, <b>tout ce qui brille n'est pas or</b>.","Не доверяй этому предложению, <b>не всё то золото, что блестит</b>.",Proverbe. Внешность обманчива.,✨💎
À cheval donné on ne regarde pas les dents.,Дарёному коню в зубы не смотрят.,expr,"C'est gratuit, <b>à cheval donné on ne regarde pas les dents</b>.","Это бесплатно, <b>дарёному коню в зубы не смотрят</b>.",Proverbe. О благодарности за подарки.,🐴🎁
"Il ne faut pas remettre à demain ce qu'on peut faire aujourd'hui.","Не откладывай на завтра то, что можно сделать сегодня.",expr,"Fais-le maintenant, <b>il ne faut pas remettre à demain ce qu'on peut faire aujourd'hui</b>.","Сделай сейчас, <b>не откладывай на завтра</b>.",Proverbe. О своевременности действий.,📅✅
Il n'y a pas de fumée sans feu.,Нет дыма без огня.,expr,"Ces rumeurs... <b>Il n'y a pas de fumée sans feu</b>.","Эти слухи... <b>Нет дыма без огня</b>.",Proverbe. Слухи имеют основание.,💨🔥
À l'impossible nul n'est tenu.,Невозможного не требуют.,expr,"J'ai fait de mon mieux, <b>à l'impossible nul n'est tenu</b>.","Я сделал всё возможное, <b>невозможного не требуют</b>.",Proverbe. О разумных ожиданиях.,🚫💯
"Quand le vin est tiré, il faut le boire.",Назвался груздем — полезай в кузов.,expr,"Tu as commencé, <b>quand le vin est tiré, il faut le boire</b>.","Ты начал, <b>назвался груздем — полезай в кузов</b>.",Proverbe. О завершении начатого.,🍷✊
Chat échaudé craint l'eau froide.,"Обжёгшись на молоке, дуют на воду.",expr,"Après son accident, <b>chat échaudé craint l'eau froide</b>.","После аварии он <b>дует на воду</b>.",Proverbe. Об осторожности после неудачи.,🐱💧
"À bon chat, bon rat.",Нашла коса на камень.,expr,"Il a trouvé un adversaire à sa mesure : <b>à bon chat, bon rat</b>.","Он нашёл достойного соперника: <b>нашла коса на камень</b>.",Proverbe. О равных противниках.,🐱🐭
"Quand le chat n'est pas là, les souris dansent.",Кот из дому — мыши в пляс.,expr,"Le patron est absent, <b>quand le chat n'est pas là, les souris dansent</b> !","Начальника нет, <b>кот из дому — мыши в пляс</b>!",Proverbe. О поведении без контроля.,🐱🐭💃
La nuit tous les chats sont gris.,Ночью все кошки серы.,expr,"Dans l'obscurité, difficile de distinguer, <b>la nuit tous les chats sont gris</b>.","В темноте трудно различить, <b>ночью все кошки серы</b>.",Proverbe. В темноте всё одинаково.,🌙🐱
"Les chiens aboient, la caravane passe.",Собаки лают — караван идёт.,expr,"Ignore les critiques, <b>les chiens aboient, la caravane passe</b>.","Игнорируй критику, <b>собаки лают, караван идёт</b>.",Proverbe. Не обращай внимание на критиков.,🐕🐫
Les chiens ne font pas des chats.,Яблоко от яблони недалеко падает.,expr,"Son fils lui ressemble, <b>les chiens ne font pas des chats</b>.","Сын похож на него, <b>яблоко от яблони недалеко падает</b>.",Proverbe. О наследственности.,🐕🐱
Qui couche avec des chiens se lève avec des puces.,"С кем поведёшься, от того и наберёшься.",expr,"Fais attention à tes fréquentations : <b>qui couche avec des chiens se lève avec des puces</b>.","Смотри, с кем дружишь: <b>с кем поведёшься, от того и наберёшься</b>.",Proverbe. О влиянии окружения.,🐕🦟
La faim chasse le loup hors du bois.,Голод не тётка.,expr,"Il a dû accepter ce travail, <b>la faim chasse le loup hors du bois</b>.","Ему пришлось согласиться, <b>голод не тётка</b>.",Proverbe. Нужда заставляет действовать.,🐺🌲
Les loups ne se mangent pas entre eux.,Ворон ворону глаз не выклюет.,expr,"Les politiciens se protègent, <b>les loups ne se mangent pas entre eux</b>.","Политики защищают друг друга, <b>ворон ворону глаз не выклюет</b>.",Proverbe. О солидарности среди своих.,🐺🤝
"Quand on parle du loup, on en voit la queue.",Лёгок на помине.,expr,"Tiens, le voilà ! <b>Quand on parle du loup, on en voit la queue</b>.","О, вот и он! <b>Лёгок на помине</b>.",Proverbe. Когда говорят о ком-то — он появляется.,🐺👀
Ce n'est pas à un vieux singe qu'on apprend à faire des grimaces.,Яйца курицу не учат.,expr,"Je connais ces astuces, <b>ce n'est pas à un vieux singe qu'on apprend à faire des grimaces</b>.","Я знаю эти трюки, <b>яйца курицу не учат</b>.",Proverbe. Об опыте старших.,🐒😏
Une hirondelle ne fait pas le printemps.,Одна ласточка весны не делает.,expr,"Un succès ne suffit pas, <b>une hirondelle ne fait pas le printemps</b>.","Одного успеха мало, <b>одна ласточка весны не делает</b>.",Proverbe. Единичный случай не показателен.,🐦🌸
On a souvent besoin d'un plus petit que soi.,И маленький может пригодиться.,expr,"N'ignore personne, <b>on a souvent besoin d'un plus petit que soi</b>.","Не пренебрегай никем, <b>и маленький может пригодиться</b>.",Proverbe. Из басни Лафонтена. О взаимопомощи.,🐭🦁
Pierre qui roule n'amasse pas mousse.,"Кому на месте не сидится, тот добра не наживёт.",expr,"À force de changer de travail, <b>pierre qui roule n'amasse pas mousse</b>.","Часто меняя работу, <b>ничего не накопишь</b>.",Proverbe. О стабильности и постоянстве.,🪨🌿
C'est au pied du mur qu'on voit le maçon.,Видно мастера по работе.,expr,"On verra s'il est compétent, <b>c'est au pied du mur qu'on voit le maçon</b>.","Посмотрим, компетентен ли он, <b>видно мастера по работе</b>.",Proverbe. Дословно: у стены виден каменщик. О проверке делом.,🧱👷
Les cordonniers sont les plus mal chaussés.,Сапожник без сапог.,expr,"Ce médecin fume ! <b>Les cordonniers sont les plus mal chaussés</b>.","Этот врач курит! <b>Сапожник без сапог</b>.",Proverbe. О том кто не применяет навыки к себе.,👞🔧
"Mieux vaut tard que jamais.","Лучше поздно, чем никогда.",expr,"Tu as fini ? <b>Mieux vaut tard que jamais</b> !","Ты закончил? <b>Лучше поздно, чем никогда</b>!",Proverbe. Лучше сделать поздно чем не сделать.,⏰✅
À chaque jour suffit sa peine.,Будет день — будет пища.,expr,"Ne t'inquiète pas pour demain, <b>à chaque jour suffit sa peine</b>.","Не беспокойся о завтра, <b>будет день — будет пища</b>.",Proverbe. Из Библии. Жить настоящим.,📅😌
Faute avouée est à moitié pardonnée.,Повинную голову меч не сечёт.,expr,"Admets ton erreur, <b>faute avouée est à moitié pardonnée</b>.","Признай ошибку, <b>повинную голову меч не сечёт</b>.",Proverbe. О признании вины.,🙏😇
Faute de grives on mange des merles.,На безрыбье и рак рыба.,expr,"Pas de restaurant ? On mange ici, <b>faute de grives on mange des merles</b>.","Нет ресторана? Едим здесь, <b>на безрыбье и рак рыба</b>.",Proverbe. Довольствоваться тем что есть.,🐦🍽️
"Qui sème le vent récolte la tempête.","Кто сеет ветер, пожнёт бурю.",expr,"Il a été méchant, <b>qui sème le vent récolte la tempête</b>.","Он поступал плохо, <b>кто сеет ветер, пожнёт бурю</b>.",Proverbe. О последствиях плохих поступков.,🌬️🌪️
Qui se ressemble s'assemble.,Рыбак рыбака видит издалека.,expr,"Ils sont devenus amis, <b>qui se ressemble s'assemble</b>.","Они подружились, <b>рыбак рыбака видит издалека</b>.",Proverbe. Похожие люди сближаются.,👯‍♂️
"Vouloir, c'est pouvoir.","Где хотенье, там и уменье.",expr,"Tu peux réussir si tu le veux vraiment, <b>vouloir c'est pouvoir</b>.","Ты сможешь, если захочешь, <b>где хотенье, там и уменье</b>.",Proverbe. О силе воли.,💪🎯
"Loin des yeux, loin du cœur.",С глаз долой — из сердца вон.,expr,"Depuis qu'il est parti, <b>loin des yeux, loin du cœur</b>.","С тех пор как он уехал, <b>с глаз долой — из сердца вон</b>.",Proverbe. О забывании тех кто далеко.,👀💔
L'appétit vient en mangeant.,Аппетит приходит во время еды.,expr,"Goûte d'abord, <b>l'appétit vient en mangeant</b>.","Сначала попробуй, <b>аппетит приходит во время еды</b>.",Proverbe. Интерес растёт в процессе.,🍽️😋
