word,pos,definition
Abatis,n.m.,Terrain partiellement dessouché.
Abrier,vt.,Couvrir un enfant.
Accise,n.f.,Impôt indirect.
Acéricole,adj.,Relatif à l'exploitation d'une érablière pour la production de sirop.
"Acériculteur, Trice",n.,Personne qui exploite une érablière.
Acétaminophène,n.m.,Paracétamol.
"Achalant, E",adj et n.,"Importun, ennuyeux."
Achaler,vt.,"Importuner, ennuyer."
Achigan,n.m.,Black-bass (poisson).
Adon,n.m.,"Coïncidence, hasard."
Aérobique,n.m ou f.,(Ou AÉROBIC).
"Affiant, E",n.,Personne qui fait une déclaration sous serment.
"Agressant, E",adj.,Stressant.
Aidance,n.f.,Fait d’aider une personne dépendante.
Amancher,vt.,"Tromper, duper."
Amateure,adj.,Féminin d'amateur.
"Anovulant, E",adj et n.m.,Contraceptif.
Aplomber,vt.,Mettre d'aplomb.
Applet,n.m. inf.,(Ou APPELETTE) Petit programme interactif.
Aréna,n.m.,Établissement où se trouve une piste de patinage.
Assermentation,n.f.,Prestation de serment.
Assesseure,n.f.,Féminin de assesseur.
Ataca,n.m.,(Ou ATOCA) Baie de l'atocatier.
Attiner,vt. fam.,"En Acadie, taquiner."
Attoquer,vt. fam.,"En Acadie, placer (une chose) contre une autre."
Attriquer,v.pr.,S'attifer.
Autocueillette,n.f.,Cueillette pratiquée par le consommateur.
Autopatrouille,n.f.,Véhicule de police.
Avionnerie,n.f.,Usine d'avions.
Avironner,vi.,Pagayer.
Babiche,n.f.,Lanière de peau traitée à la manière amérindienne.
Babillard,n.m.,Tableau d'affichage.
Baboune,n.f.,"Lèvre inférieure, moue."
Bagosse,n.f.,Alcool de mauvaise qualité fabriqué clandestinement.
Balado,1. n.m.,Podcast.
Baladodiffusion,n.f.,Podcasting.
Balloune,n.f. fam.,(Ou BALOUNE) Petit ballon gonflable. - Éthylotest.
Bardasser,vt.,"(Ou BERDASSER) Bousculer, secouer."
Barrure,n.f.,Verrou.
Bâsir,vt.,"En Acadie, disparaître, cacher."
Bassinette,n.f.,"Lit d'enfant, à barreaux."
Batture,n.f.,Partie du rivage découverte à marée basse.
Bavardoir,n.m.,Forum de discussion sur internet.
Bazou,n.m.,Vieille automobile.
Bébelle,n.f. fam.,Jouet. - Babiole.
