"Termes_Officialises",Type_Officialisation,"Domaines",Date_fiche,Date_officialisation,Definition,Equivalent_anglais,URL_fiche
"halte routière (n. f.)",recommandation,"route > circulation routière",2011-03-02,2011-02-01,"Lieu aménagé à proximité d'une route ou d'une autoroute en vue de permettre aux usagers de faire un arrêt en toute sécurité sans nuire à l'écoulement de la circulation et, le cas échéant, de s'y reposer et de profiter de certains services.",pull-off area,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/36927/halte-routiere
"langouste (n. f.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2007-04-01,2007-03-01,"Crustacé vivant sur les fonds rocheux des mers chaudes ou tempérées, à corps allongé, à carapace épineuse et à très longues antennes (famille des palinuridés).",spiny lobster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198630/langouste
"homard (n. m.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2007-04-01,2007-03-01,"Grand crustacé de l'Atlantique Nord à corps allongé dont les deux pattes antérieures, très développées, se terminent par de grosses pinces (famille des néphropidés).",lobster,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198631/homard
"langoustine (n. f.)",normalisation,"zoologie > crustacéologie;alimentation > crustacé comestible",2007-04-01,2007-03-01,"Petit crustacé longiligne de l'Atlantique et de la Méditerranée, aux yeux protubérants, dont les deux pattes antérieures se terminent par de fines pinces (famille des néphropidés).",scampi,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198632/langoustine
"place (n. f.)",normalisation,"urbanisme",2005-06-01,1990-03-01,"Espace public découvert plus ou moins vaste, souvent entouré de constructions, sur lequel débouchent ou que traversent une ou plusieurs voies de communication.",square,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198635/place
"circonscription électorale (n. f.)",recommandation,"élection",2022-07-13,2022-07-09,Division territoriale établie en vue de l'élection de représentants.,electoral district,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198636/circonscription-electorale
"goberge (n. f.) [Québec/Canada]",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Grand poisson de l'Atlantique Nord apparenté à la morue, ayant sur le corps une ligne latérale claire et droite, et possédant trois nageoires dorsales et deux nageoires anales ainsi qu'une mandibule légèrement proéminente (famille des gadidés).",pollock,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198637/goberge
"plie canadienne (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat de la famille des pleuronectidés qui vit dans les eaux froides de l'Atlantique Nord, à la face supérieure d'un brun jaunâtre assez pâle avec quelques taches sombres, dont la queue présente un bord triangulaire caractéristique et dont les yeux sont rapprochés l'un de l'autre.",American plaice,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198638/plie-canadienne
"flétan de l'Atlantique (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Grand poisson plat vivant dans les eaux froides de l'Atlantique, à la face supérieure de couleur allant du gris verdâtre au brun foncé, ayant sur le corps une ligne latérale nettement incurvée au-dessus de la nageoire pectorale et dont les yeux sont séparés l'un de l'autre par environ la longueur du diamètre de l'œil (famille des pleuronectidés).",Atlantic halibut,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198639/fletan-de-latlantique
"flétan du Groenland (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2012-02-29,2004-07-01,"Poisson plat vivant dans les eaux froides de l'Atlantique Nord et du Pacifique Nord, à la face supérieure brun très foncé, ayant sur le corps une ligne latérale plutôt droite et dont les yeux sont très écartés l'un de l'autre (famille des pleuronectidés).",Greenland halibut,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198640/fletan-du-groenland
"turbot (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat vivant dans l'Atlantique Nord-Est et dans la Méditerranée, à forme losangique et dont la peau présente des tubercules osseux perceptibles au toucher (famille des scophthalmidés). ",turbot,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198641/turbot
"barbue (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat vivant dans l'Atlantique Nord-Est, dans la Méditerranée et dans la mer Noire, à forme plutôt ovale, à la peau lisse, et dont les extrémités ramifiées des premiers rayons de la nageoire dorsale évoquent une barbe (famille des scophthalmidés).",brill,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198642/barbue
"plie rouge (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat des côtes atlantiques de l'Amérique du Nord, à la face supérieure de couleur allant du brun rougeâtre à presque noir et dont les yeux sont rapprochés l'un de l'autre (famille des pleuronectidés).",winter flounder,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198643/plie-rouge
"plie grise (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat vivant sur les fonds vaseux de l'Atlantique Nord, au corps relativement allongé, aux nageoires dorsale et anale nettement plus foncées que le corps, et dont les yeux sont rapprochés l'un de l'autre (famille des pleuronectidés).",witch flounder,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198644/plie-grise
"limande à queue jaune (n. f.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2004-08-01,2004-07-01,"Poisson plat des côtes atlantiques de l'Amérique du Nord, à la face supérieure de couleur olive brunâtre mouchetée de taches rouille, ayant sur le corps une ligne latérale arquée au-dessus de la nageoire pectorale et dont les yeux sont rapprochés l'un de l'autre (famille des pleuronectidés).",yellowtail flounder,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198645/limande-a-queue-jaune
"exocet (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-10-24,2004-07-01,"Poisson des mers chaudes ou tempérées, à la nageoire caudale échancrée, et aux nageoires pectorales hypertrophiées et développées en forme d'ailes, qui lui permettent d'effectuer des sauts planés sur de longues distances au-dessus de la surface de l'eau (famille des exocétidés).",flying fish,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198646/exocet
"préalable (n. m.)",normalisation,"éducation > programme d'études",2004-08-01,1982-01-01,Cours qui doit en précéder un autre dans un programme de formation ou dont les éléments doivent avoir été assimilés pour permettre d'accéder à un autre cours.,prerequisite course,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198647/prealable
"préalable (n. m.)",normalisation,"éducation > admission",2004-08-01,1982-01-01,"Condition (âge, aptitude physique, connaissances, compétences, habiletés, etc.) qui doit être remplie avant de commencer ou de poursuivre un programme de formation.",prerequisite,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198648/prealable
"plaider coupable (loc. v.)",normalisation,"droit > droit pénal et criminel;criminologie",2004-03-01,1993-03-31,Répondre à un chef d'accusation par la reconnaissance de sa culpabilité.,plead guilty,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198649/plaider-coupable
"omble de fontaine (n. m.)",normalisation,"zoologie > ichtyologie;alimentation > poisson comestible",2011-07-04,1994-09-01,,brook trout,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198650/omble-de-fontaine
"rente (n. f.)",normalisation,"assurance > assurance vie;assurance > rente",2004-01-01,1980-10-01,Somme payable périodiquement en contrepartie de l'aliénation d'un capital constitué par des cotisations ou des primes.,annuity,https://vitrinelinguistique.oqlf.gouv.qc.ca/fiche-gdt/fiche/1198651/rente
