French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
tabarnak,блин!; чёрт! (сильное),interj,"<b>Tabarnak</b>, j'ai raté mon bus !","<b>Чёрт</b>, я опоздал на автобус!","⚠️ Vulgaire. Origine: tabernacle (церковный ковчег). Самый сильный sacre.",🤬
câlice; calice,блин!; чёрт!,interj,"<b>Câlice</b>, il pleut encore !","<b>Чёрт</b>, опять дождь!","⚠️ Vulgaire. Origine: calice (чаша для причастия).",😤
crisse; criss,чёрт!; блин!,interj,"<b>Crisse</b> que c'est beau le Québec !","<b>Чёрт</b>, как красиво в Квебеке!","⚠️ Vulgaire. Origine: Christ. Aussi adverbe: crissement.",😠
ostie; osti,блин!; чёрт!,interj,"<b>Ostie</b> que j'suis tanné !","<b>Блин</b>, как я устал!","⚠️ Vulgaire. Origine: hostie (облатка для причастия).",😤
sacrament,чёрт побери!,interj,"<b>Sacrament</b>, j'ai oublié mes clés !","<b>Чёрт побери</b>, я забыл ключи!","⚠️ Vulgaire. Origine: sacrement (таинство).",🤦
ciboire,чёрт!; блин!,interj,"<b>Ciboire</b>, c'est cher !","<b>Блин</b>, как дорого!","⚠️ Vulgaire. Origine: ciboire (дароносица).",😲
baptême,чёрт!,interj,"<b>Baptême</b>, qu'est-ce qui s'est passé ?","<b>Чёрт</b>, что случилось?","⚠️ Vulgaire. Origine: baptême (крещение).",😯
maudit,чёртов; проклятый,adj,"Cette <b>maudite</b> machine ne marche pas !","Эта <b>чёртова</b> машина не работает!","⚠️ Familier/Vulgaire. Origine: maudit (проклятый).",👿
tabarnouche,блин! (мягкая форма),interj,"<b>Tabarnouche</b>, j'ai encore perdu !","<b>Блин</b>, я опять проиграл!","Euphémisme de tabarnak. Менее грубо.",😅
câline; câline de bine,блин! (мягкая форма),interj,"<b>Câline</b>, c'est compliqué !","<b>Блин</b>, это сложно!","Euphémisme de câlice. Acceptable.",😊
crime,блин! (мягкая форма),interj,"<b>Crime</b>, j'ai oublié !","<b>Блин</b>, я забыл!","Euphémisme de crisse. Acceptable.",🙄
mautadit,чёртов (мягкая форма),adj,"Ce <b>mautadit</b> ordinateur est lent !","Этот <b>чёртов</b> компьютер тормозит!","Euphémisme de maudit. Менее грубо.",💻
simonac,чёрт! (мягкая форма),interj,"<b>Simonac</b>, c'est loin !","<b>Чёрт</b>, как далеко!","Euphémisme. Acceptable.",😮
viarge,чёрт! (мягкая форма),interj,"<b>Viarge</b>, il fait chaud !","<b>Чёрт</b>, как жарко!","Euphémisme (от Vierge Marie). Acceptable.",🥵
mosus,чёртов (мягкая форма),adj,"Ce <b>mosus</b> de projet prend du temps !","Этот <b>чёртов</b> проект занимает много времени!","Euphémisme. Acceptable.",😤
être en tabarnak,быть в ярости,expr,"Mon père était <b>en tabarnak</b> quand il a vu la facture.","Мой папа был <b>в ярости</b>, когда увидел счёт.","⚠️ Vulgaire. Sacre comme adverbe d'intensité.",🤬😡
en crisse,очень; ужасно (интенсификатор),expr,"Il fait froid <b>en crisse</b> !","<b>Ужасно</b> холодно!","⚠️ Vulgaire. Sacre comme intensificateur.",🥶
crissement,очень; чертовски,adv,"C'est <b>crissement</b> bon !","Это <b>чертовски</b> вкусно!","⚠️ Vulgaire. Dérivé de crisse.",😋
